Project,Github Link,OSE,BCE,PDE,SV,OS,SD,RS,TFS,UI,TC,Total,Commits,,
system-design-primer,https://github.com/donnemartin/system-design-primer,0,1,1,1,0,1,0,0,0,0,4,0,2 weeks,
Python-100-Days,https://github.com/jackfrued/Python-100-Days,0,0,1,1,0,0,0,0,1,0,3,0,2 days,
Python,https://github.com/TheAlgorithms/Python,0,0,1,0,0,0,0,1,1,1,4,0,,
cli,https://github.com/httpie/cli,0,1,0,0,0,1,0,1,0,0,3,0,,
requests,https://github.com/psf/requests,0,1,0,0,0,0,0,1,1,0,3,0,,
ansible,https://github.com/ansible/ansible,1,1,0,0,1,0,0,1,1,0,5,0,,
you-get,https://github.com/soimort/you-get,1,1,1,0,1,0,0,1,0,0,5,0,,Commit Median
manim,https://github.com/3b1b/manim,0,1,0,0,0,1,0,0,0,0,2,0,,0
python-patterns,https://github.com/faif/python-patterns,0,1,1,0,0,1,0,1,1,0,5,1,,
python-fire,https://github.com/google/python-fire,0,1,1,1,0,1,0,0,0,0,4,0,,
google-images-download,https://github.com/hardikvasa/google-images-download,1,1,1,0,1,1,0,0,0,0,5,0,,
tweepy,https://github.com/tweepy/tweepy,0,1,0,0,0,1,0,0,0,0,2,0,,
uvloop,https://github.com/MagicStack/uvloop,0,1,1,0,0,1,0,1,0,1,5,0,,
Photon,https://github.com/s0md3v/Photon,0,0,1,1,0,1,0,1,0,0,4,2,,
jinja,https://github.com/pallets/jinja,0,1,1,0,0,0,0,1,1,0,4,0,,
rq,https://github.com/rq/rq,0,1,0,0,0,0,0,1,1,0,3,0,,
chalice,https://github.com/aws/chalice,0,1,1,1,0,1,0,0,1,1,6,0,,
cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,0,1,0,0,0,0,0,0,1,0,2,0,,
chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,1,1,1,0,0,0,1,1,0,1,6,6,,
fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,0,1,1,0,1,1,0,1,0,0,5,3,,
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,1,0,1,1,0,1,0,1,1,1,7,0,,
Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,0,0,0,1,0,1,0,1,1,0,4,3,,
OSX-KVM,https://github.com/kholia/OSX-KVM,0,1,0,1,0,0,1,1,0,1,5,0,,
pgcli,https://github.com/dbcli/pgcli,0,1,1,0,0,0,0,0,1,1,4,2,,
cascadia-code,https://github.com/microsoft/cascadia-code,1,1,1,1,1,1,0,1,0,1,8,,,
locust,https://github.com/locustio/locust,0,1,0,0,0,0,0,0,1,0,2,,,
