Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
flair,v0.1.0,2018-07-13,0,1,1,0,0,0,1,1,0,1,5,1,1
flair,v0.2.0,2018-08-03,0,1,1,0,0,0,1,1,1,1,6,2,2
flair,v0.3.0,2018-10-16,0,1,1,0,0,0,1,1,0,1,5,3,3
flair,v0.3.1,2018-10-19,0,1,1,0,0,0,1,1,0,1,5,3,3
flair,v0.3.2,2018-11-12,0,1,0,0,0,0,1,1,0,1,4,5,5
flair,v0.4.0,2018-12-19,0,0,1,1,0,0,0,1,0,0,3,3,3
flair,v0.4.1,2019-02-22,0,0,1,1,0,0,0,1,0,0,3,5,5
flair,v0.4.2,2019-05-30,0,0,1,1,0,0,0,1,0,0,3,6,6
flair,v0.4.3,2019-08-26,0,0,1,1,0,0,0,1,1,0,4,10,10
flair,v0.4.4,2019-10-20,1,1,1,1,0,0,0,0,0,1,5,9,9
flair,v0.4.5,2020-01-24,0,0,0,1,1,0,0,1,1,0,4,9,9
flair,v0.5,2020-05-24,0,1,1,0,0,0,1,1,0,1,5,11,11
flair,v0.5.1,2020-07-05,0,1,1,0,0,0,1,1,0,1,5,15,15
flair,v0.6,2020-08-17,0,1,1,0,0,0,1,1,0,1,5,16,16
flair,v0.6.1,2020-09-23,0,0,1,1,0,0,0,1,1,0,4,16,16
flair,v0.7,2020-12-01,0,0,1,1,0,0,0,1,1,0,4,16,16
flair,v0.8,2021-03-05,0,0,1,1,0,0,0,1,1,0,4,20,20
flair,v0.9,2021-08-29,0,0,1,1,0,0,0,1,1,0,4,23,23
flair,v0.10,2021-11-18,0,0,1,1,0,0,0,0,1,0,3,23,23
flair,v0.11,2022-04-10,0,0,1,1,0,0,0,1,1,0,4,22,22
flair,v0.12,2023-03-06,0,1,1,0,0,0,1,1,0,1,5,22,22
flair,v0.12.1,2023-03-10,0,1,1,0,0,0,1,1,0,1,5,22,22
flair,v0.12.2,2023-03-30,0,0,1,1,0,0,0,1,1,0,4,21,21
flair,v0.13.0,2023-10-28,0,1,1,1,0,0,1,1,0,1,6,21,21
flair,v0.13.1,2023-12-18,0,0,1,1,0,0,0,1,1,0,4,21,21
flair,v0.14.0,2024-07-25,0,0,1,1,0,0,0,1,1,0,4,24,24
flair,v0.15.0,2024-12-20,0,1,1,0,0,0,1,1,0,1,5,24,24
