Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
glances,v2.4,2015-07-21,0,1,1,0,0,0,1,1,0,1,5
glances,v2.4.1,2015-07-21,0,1,1,0,0,0,1,1,0,1,5
glances,v2.4.2,2015-07-21,0,1,1,0,0,0,1,1,0,1,5
glances,v2.5,2015-10-06,0,1,1,0,0,0,1,1,0,1,5
glances,v2.5.1,2015-10-22,0,0,1,1,0,0,0,1,0,1,4
glances,v2.6,2016-03-16,0,1,1,0,0,0,1,1,0,1,5
glances,v2.6.1,2016-03-26,0,1,1,0,0,0,1,1,0,1,5
glances,v2.6.2,2016-05-12,1,1,1,1,0,0,0,1,0,1,6
glances,v2.7,2016-09-10,0,1,1,1,0,0,1,1,1,1,7
glances,v2.8,2017-01-21,0,1,1,0,0,0,1,1,0,1,5
glances,v2.8.1_1,2017-02-06,0,1,1,0,0,0,1,1,0,1,5
glances,v2.9.0,2017-03-27,0,1,1,0,0,0,1,1,0,1,5
glances,v2.9.1,2017-04-03,0,1,1,0,0,0,1,1,0,1,5
glances,v2.10,2017-05-26,1,1,1,1,0,0,1,1,0,1,7
glances,v2.11,2017-08-27,0,0,1,1,0,1,0,0,1,1,5
glances,v3.0,2018-09-05,0,1,1,0,0,0,1,1,0,1,5
glances,v3.0.2,2018-10-14,1,1,1,1,0,0,1,1,0,1,7
glances,v3.1.0,2019-01-19,1,0,1,1,1,1,0,0,0,1,6
glances,v3.1.4,2020-03-11,1,1,1,1,0,0,1,1,0,1,7
glances,v3.1.5,2020-08-20,1,0,1,1,0,0,1,1,0,1,6
glances,v3.1.6,2021-01-23,1,0,1,1,0,0,1,1,0,1,6
glances,v3.1.7,2021-05-11,0,1,1,0,0,0,1,1,1,1,6
glances,v3.2.0,2021-07-10,0,1,1,0,0,0,1,1,0,1,5
glances,v3.2.2,2021-07-24,0,1,1,0,0,0,1,1,0,1,5
glances,v3.2.3,2021-08-14,1,0,1,1,0,0,1,1,0,1,6
glances,v3.2.4,2021-11-20,0,1,1,0,0,0,1,1,0,1,5
glances,v3.2.4.2,2021-11-29,1,0,1,1,0,0,1,1,0,1,6
glances,v3.2.5,2022-04-16,1,0,1,1,0,0,0,1,0,1,5
glances,v3.2.7,2022-07-29,0,1,1,0,0,0,1,1,0,1,5
glances,v3.3.0,2022-10-29,1,0,1,1,0,0,1,1,0,1,6
glances,v3.3.1,2023-01-14,0,0,1,1,0,0,0,1,1,1,5
glances,v3.4.0,2023-05-16,0,1,1,0,0,0,1,1,0,1,5
glances,v3.4.0.1,2023-05-17,0,1,1,0,0,0,1,1,0,1,5
glances,v3.4.0.2,2023-05-18,0,0,1,1,0,1,0,1,1,1,6
glances,v3.4.0.5,2024-03-24,0,1,1,0,0,0,1,1,0,1,5
glances,v4.0.2,2024-05-13,0,1,1,0,0,0,1,1,0,1,5
glances,v4.0.3,2024-05-15,0,1,1,0,0,0,1,1,0,1,5
glances,v4.0.4,2024-05-17,0,1,1,0,0,0,1,1,0,1,5
glances,v4.0.6,2024-05-25,0,1,1,0,0,0,1,1,0,1,5
glances,v4.0.7,2024-05-31,0,1,1,0,0,0,0,1,0,1,4
glances,v4.0.8,2024-06-08,0,1,1,0,0,0,1,1,0,1,5
glances,v4.1.1,2024-06-29,0,1,1,0,0,0,1,1,0,1,5
glances,v4.1.2.1,2024-07-04,0,1,1,0,0,0,1,1,0,1,5
glances,v4.2.0,2024-10-20,0,1,1,0,0,0,1,1,0,1,5
glances,v4.2.1,2024-11-01,0,1,1,0,0,0,1,1,1,1,6
glances,v4.3.0,2024-12-27,0,1,1,0,0,0,0,1,0,1,4
glances,v4.3.0.6,2024-12-31,0,1,1,0,0,0,0,1,0,1,4
glances,v4.3.0.7,2025-01-03,0,1,1,0,0,0,0,1,0,1,4
glances,v4.3.0.8,2025-01-05,0,1,1,1,0,0,1,1,0,1,6
