Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
oauthlib,v2.0.4,2018-03-18,0,1,1,0,0,0,1,1,0,1,5
oauthlib,v2.0.5,2018-03-18,0,1,1,0,0,0,1,1,0,1,5
oauthlib,v2.0.6,2018-03-18,0,1,1,0,0,0,1,1,0,1,5
oauthlib,v2.0.7,2018-03-19,1,1,1,1,0,0,1,1,0,1,7
oauthlib,v2.1.0,2018-05-22,1,0,1,1,0,0,0,1,0,1,5
oauthlib,v3.0.0,2019-01-08,0,1,1,0,0,0,0,1,0,1,4
oauthlib,v3.0.1,2019-01-24,1,1,1,1,0,1,1,1,0,1,8
oauthlib,v3.0.2,2019-07-04,0,1,1,0,0,0,1,1,0,1,5
oauthlib,v3.1.0,2019-08-06,1,1,1,0,1,1,0,1,0,1,7
oauthlib,v3.1.1,2021-06-02,1,1,1,0,0,1,0,1,0,1,6
oauthlib,v3.2.0,2022-01-29,1,1,1,0,0,1,1,1,0,1,7
oauthlib,v3.2.1,2022-09-09,0,1,1,1,0,0,1,1,0,1,6
