Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
Robyn,v0.2.3,2021-06-18,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.3.0,2021-06-21,0,1,1,0,0,0,0,1,0,1,4
Robyn,0.4.0,2021-06-22,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.5.0,2021-07-01,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.5.1,2021-07-10,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.6.0,2021-08-11,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.6.1,2021-08-31,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.7.0,2021-10-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.7.1,2021-10-28,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.8.0,2021-11-10,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.8.1,2021-11-17,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.9.0,2021-12-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.10.0,2021-12-20,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.11.0,2022-01-07,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.11.1,2022-01-11,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.12.0,2022-01-20,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.12.1,2022-02-13,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.13.0,2022-02-15,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.13.1,2022-02-20,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.14.0,2022-03-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.15.0,2022-03-17,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.15.1,2022-03-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.16.0,2022-04-29,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.16.2,2022-05-09,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.16.3,2022-05-18,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.16.4,2022-05-31,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.16.6,2022-07-02,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.17.0,2022-07-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.17.1,2022-07-20,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.17.2,2022-08-11,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.17.3,2022-08-17,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.17.4,2022-08-28,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.17.5,2022-09-14,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.18.0,2022-11-11,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.18.1,2022-10-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.18.2,2022-11-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.18.3,2022-11-11,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.19.1,2022-12-04,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.19.2,2022-12-14,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.20.0,2022-12-20,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.21.0,2023-01-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.22.0,2023-01-14,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.22.1,2023-01-17,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.23.0,2023-01-21,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.23.1,2023-02-01,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.24.0,2023-02-06,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.24.1,2023-02-09,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.25.0,2023-02-20,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.26.0,2023-03-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.26.1,2023-04-05,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.27.0,2023-04-09,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.28.0,2023-04-10,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.28.1,2023-04-10,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.28.2,2023-04-14,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.28.3,2023-04-16,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.28.4,2023-04-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.29.0,2023-05-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.30.0,2023-05-22,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.31.0,2023-05-25,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.32.0,2023-06-03,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.33.0,2023-06-11,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.34.0,2023-06-16,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.35.0,2023-06-18,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.35.1,2023-06-24,0,1,1,0,0,0,1,1,0,1,5
Robyn,v0.36.0,2023-06-29,0,1,1,0,0,0,0,1,0,1,4
Robyn,v0.36.2,2023-07-16,0,1,1,0,0,0,1,1,0,1,5
