Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
api,v0.1.0,2017-12-29,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.1,2018-02-09,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.2,2018-02-16,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.3,2018-03-02,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.4,2018-03-15,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.5,2018-03-21,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.6,2018-04-01,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.7,2018-04-06,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.8,2018-05-13,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.9,2018-06-01,0,1,1,0,0,0,1,1,0,1,5
api,v0.1.10,2018-06-18,0,1,1,0,0,0,1,1,0,1,5
api,v0.2.0,2018-06-29,0,1,1,0,0,0,1,1,0,1,5
api,v0.2.1,2018-08-06,0,1,1,0,0,0,1,1,0,1,5
api,v0.3.0,2018-08-07,0,1,1,0,0,0,1,1,0,1,5
api,v0.3.1,2018-09-28,0,1,1,0,0,0,1,1,0,1,5
api,v0.3.2,2018-11-09,0,1,1,0,0,0,1,1,0,1,5
api,v0.3.3,2018-11-29,0,1,1,0,0,0,1,1,0,1,5
api,v0.3.4,2018-12-07,0,1,1,0,0,0,1,1,0,1,5
api,v0.4.0,2018-12-12,0,1,1,0,0,0,1,1,0,1,5
api,v0.5.0,2019-02-02,1,1,1,1,0,0,1,1,0,1,7
api,v0.5.1,2019-03-29,0,1,1,0,0,0,1,1,0,1,5
api,v0.5.2,2019-05-09,0,1,1,0,0,0,1,1,0,1,5
api,v0.5.3,2019-06-03,0,1,1,0,0,0,1,1,0,1,5
api,v0.5.4,2019-06-12,0,1,1,0,0,0,1,1,0,1,5
api,v0.5.5,2019-06-20,0,1,1,0,0,0,1,1,0,1,5
api,v0.6.0,2019-06-21,0,1,1,0,0,0,1,1,0,1,5
api,v0.6.1,2019-07-10,1,1,1,1,0,0,1,0,0,1,6
api,v0.6.2-Daito-RC1,2019-11-26,0,1,1,0,0,0,1,1,0,1,5
api,v0.6.3,2019-12-03,0,1,1,0,0,0,1,1,0,1,5
api,v0.7.0,2019-12-12,0,1,1,0,0,0,1,1,0,1,5
api,v0.8.0,2019-12-24,0,1,1,0,0,0,1,1,0,1,5
api,v0.9.0,2020-01-03,0,1,1,0,0,0,1,1,0,1,5
api,v0.10.0,2020-01-07,0,1,1,0,0,0,1,1,0,1,5
api,v0.10.1,2020-01-10,0,1,1,0,0,0,1,1,0,1,5
api,v0.10.2,2020-03-12,0,1,1,0,0,0,1,1,0,1,5
api,v0.12.0,2020-04-13,0,1,1,1,0,0,1,1,0,1,6
api,v1.0.0,2020-06-28,0,1,1,1,0,1,1,1,0,1,7
