Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
jquery-pjax,v1.4.0,2013-02-26,1,1,1,1,0,1,1,1,0,1,8
jquery-pjax,v1.8.2,2014-04-19,1,1,1,1,0,1,1,1,0,1,8
jquery-pjax,v1.9.0,2014-12-03,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.1,2014-12-03,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.2,2014-12-03,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.3,2014-12-03,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.4,2014-12-03,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.5,2015-03-07,0,1,1,0,0,0,1,1,0,1,5
jquery-pjax,v1.9.6,2015-04-02,0,1,1,1,0,1,1,1,0,1,7
jquery-pjax,v2.0.0,2017-05-19,0,1,1,0,0,0,0,1,0,1,4
