Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
sqladmin,0.1.1,2022-01-02,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.2,2022-01-09,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.3,2022-01-24,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.4,2022-02-16,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.1.5,2022-02-24,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.6,2022-03-09,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.7,2022-03-22,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.8,2022-04-19,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.9,2022-05-29,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.10,2022-06-21,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.11,2022-06-23,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.1.12,2022-07-13,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.2.0,2022-08-01,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.2.1,2022-08-04,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.3.0,2022-08-26,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.4.0,2022-08-31,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.5.0,2022-09-06,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.6.0,2022-09-19,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.6.1,2022-09-25,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.7.0,2022-11-03,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.8.0,2022-11-22,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.9.0,2023-02-07,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.10.0,2023-03-15,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.10.1,2023-03-25,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.10.2,2023-04-15,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.10.3,2023-04-21,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.11.0,2023-05-23,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.12.0,2023-06-14,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.13.0,2023-06-30,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.14.0,2023-08-02,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.14.1,2023-08-08,0,1,1,1,0,0,1,1,0,1,6
sqladmin,0.15.0,2023-09-19,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.15.1,2023-10-02,0,1,1,0,0,0,0,1,0,1,4
sqladmin,0.15.2,2023-10-12,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.16.0,2023-11-14,1,1,1,1,0,0,1,1,0,1,7
sqladmin,0.16.1,2024-02-21,1,1,1,1,0,0,1,1,0,1,7
sqladmin,0.17.0,2024-05-13,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.18.0,2024-07-01,1,1,1,1,0,0,1,1,0,1,7
sqladmin,0.19.0,2024-09-06,0,1,1,0,0,0,1,1,0,1,5
sqladmin,0.20.0,2024-10-17,0,1,1,0,0,0,1,1,0,1,5
