Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,total-cs
viser,v0.0.0,2023-04-14,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.1,2023-04-14,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.2,2023-04-14,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.3,2023-04-15,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.4,2023-04-15,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.5,2023-04-15,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.6,2023-04-24,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.7,2023-04-26,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.8,2023-05-01,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.9,2023-05-01,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.10,2023-05-04,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.11,2023-05-23,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.12,2023-05-26,0,1,1,0,0,0,1,1,0,1,5
viser,v0.0.13,2023-05-28,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.14,2023-06-05,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.15,2023-06-05,0,1,1,0,0,0,0,1,0,1,4
viser,v0.0.16,2023-06-06,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.0,2023-08-15,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.1,2023-09-07,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.2,2023-09-07,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.3,2023-09-19,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.4,2023-09-19,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.5,2023-09-25,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.6,2023-10-11,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.7,2023-10-12,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.8,2023-11-07,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.9,2023-11-07,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.10,2023-11-13,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.11,2023-11-28,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.12,2023-11-29,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.13,2023-11-30,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.14,2023-12-14,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.15,2023-12-15,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.16,2023-12-16,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.17,2023-12-20,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.18,2024-01-12,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.19,2024-01-14,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.20,2024-01-16,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.21,2024-01-17,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.22,2024-01-23,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.23,2024-01-25,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.24,2024-02-17,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.25,2024-03-01,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.26,2024-03-23,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.27,2024-04-02,0,1,1,0,0,0,0,1,0,1,4
viser,v0.1.28,2024-04-14,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.29,2024-05-04,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.30,2024-05-17,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.31,2024-05-25,0,1,1,0,0,0,1,1,0,1,5
viser,v0.1.32,2024-05-29,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.1,2024-06-07,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.2,2024-06-27,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.3,2024-06-29,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.4,2024-08-29,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.5,2024-08-29,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.6,2024-08-29,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.7,2024-08-29,0,1,1,0,0,0,1,1,0,1,5
viser,v0.2.8,2024-09-12,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.9,2024-09-25,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.10,2024-10-18,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.11,2024-10-18,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.12,2024-11-04,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.13,2024-11-08,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.14,2024-11-08,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.15,2024-11-09,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.16,2024-11-09,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.17,2024-11-10,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.18,2024-11-13,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.19,2024-11-21,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.20,2025-01-07,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.21,2025-01-19,0,1,1,0,0,0,0,1,0,1,4
viser,v0.2.22,2025-01-28,0,1,1,0,0,0,0,1,0,1,4
