Project,CommunitySmell,SATD_Type,Correlation,P_Value
incubator-mxnet,BCE,Documentation,0.39,0.033
incubator-mxnet,BCE,M&T,0.382,0.0373
incubator-mxnet,BCE,Requirement,0.583,0.0007
incubator-mxnet,OS,M&T,0.374,0.0418
incubator-mxnet,OS,Requirement,0.389,0.0336
incubator-mxnet,TF,Documentation,0.461,0.0103
incubator-mxnet,TF,Requirement,0.421,0.0205
incubator-mxnet,TC,Documentation,0.408,0.0253
scanpy,OSE,Design,0.227,0.0322
scanpy,OSE,Documentation,0.232,0.0285
scanpy,OSE,Requirement,0.219,0.0395
scanpy,SV,Defect,0.289,0.006
scanpy,SV,Design,0.464,0.0
scanpy,SV,Documentation,0.407,0.0001
scanpy,SV,M&T,0.226,0.0331
scanpy,SV,Requirement,0.413,0.0001
tesseract,OSE,Code,0.351,0.049
tesseract,OSE,Requirement,0.36,0.0428
tesseract,BCE,Code,0.62,0.0002
tesseract,BCE,Defect,0.411,0.0194
tesseract,BCE,Design,0.507,0.0031
tesseract,BCE,Documentation,0.632,0.0001
tesseract,BCE,Requirement,0.472,0.0064
tesseract,PDE,Code,0.653,0.0001
tesseract,PDE,Defect,0.498,0.0037
tesseract,PDE,Design,0.571,0.0006
tesseract,PDE,Documentation,0.482,0.0052
tesseract,PDE,Requirement,0.401,0.023
tesseract,RS,Code,0.725,0.0
tesseract,RS,Defect,0.44,0.0118
tesseract,RS,Design,0.606,0.0002
tesseract,RS,Documentation,0.652,0.0001
tesseract,RS,Requirement,0.594,0.0003
tesseract,TC,Code,0.7,0.0
tesseract,TC,Defect,0.435,0.0129
tesseract,TC,Design,0.536,0.0016
tesseract,TC,Documentation,0.695,0.0
tesseract,TC,Requirement,0.525,0.0021
POT,OSE,Defect,0.499,0.0069
POT,OSE,Design,0.559,0.002
POT,OSE,Requirement,0.637,0.0003
POT,SV,Defect,0.414,0.0285
POT,SV,Design,0.442,0.0186
POT,SV,Requirement,0.456,0.0147
POT,SD,Defect,0.39,0.0402
POT,SD,Requirement,0.393,0.0387
POT,RS,Defect,0.433,0.0212
POT,RS,Design,0.505,0.0061
POT,RS,Requirement,0.51,0.0056
dm_control,PDE,Code,0.5,0.0079
dm_control,PDE,Requirement,0.395,0.0413
EconML,SV,Code,0.571,0.0008
EconML,SV,Design,0.558,0.0011
EconML,SV,Documentation,0.523,0.0025
EconML,SV,M&T,0.431,0.0155
kornia,OSE,Code,0.33,0.0376
kornia,OSE,Documentation,0.372,0.0179
kornia,OSE,Requirement,0.326,0.0401
kornia,OS,Code,0.437,0.0048
kornia,OS,Defect,0.444,0.0041
kornia,OS,Design,0.383,0.0148
kornia,OS,Documentation,0.437,0.0048
kornia,OS,M&T,0.421,0.0069
kornia,OS,Requirement,0.441,0.0044
interpret,SV,Code,0.438,0.0015
interpret,SV,Defect,0.369,0.0083
interpret,SV,Documentation,0.354,0.0115
interpret,SV,M&T,0.281,0.0481
interpret,SV,Requirement,0.324,0.0215
mne-python,OSE,Code,0.381,0.0041
mne-python,OSE,Documentation,0.305,0.0233
mne-python,OSE,Requirement,0.355,0.0078
mne-python,BCE,Defect,0.454,0.0005
mne-python,BCE,Design,0.488,0.0002
mne-python,BCE,M&T,0.449,0.0006
mne-python,BCE,Requirement,0.271,0.0453
mne-python,RS,Code,0.376,0.0046
mne-python,RS,Defect,0.513,0.0001
mne-python,RS,Design,0.511,0.0001
mne-python,RS,Documentation,0.317,0.0185
mne-python,RS,M&T,0.534,0.0
mne-python,RS,Requirement,0.481,0.0002
mne-python,TF,Defect,0.289,0.0325
mne-python,TF,Design,0.369,0.0056
mne-python,TF,M&T,0.332,0.0134
PyKEEN,SV,Code,0.517,0.0197
PyKEEN,SV,Defect,0.451,0.046
PyKEEN,SV,Design,0.534,0.0153
PyKEEN,SV,Documentation,0.56,0.0102
PyKEEN,SV,Requirement,0.559,0.0104
ludwig,BCE,Code,0.383,0.0067
