Project,CommunitySmell,SATD_Type,Correlation,P_Value
ludwig,OSE,Code,0.031,0.8326
ludwig,OSE,Defect,0.003,0.9846
ludwig,OSE,Design,0.019,0.8993
ludwig,OSE,Documentation,-0.09,0.5372
ludwig,OSE,M&T,-0.128,0.3804
ludwig,OSE,Requirement,-0.015,0.9171
ludwig,BCE,Code,0.383,0.0067
ludwig,BCE,Defect,0.394,0.0051
ludwig,BCE,Design,0.399,0.0045
ludwig,BCE,Documentation,0.442,0.0015
ludwig,BCE,M&T,0.422,0.0025
ludwig,BCE,Requirement,0.425,0.0024
ludwig,SV,Code,-0.295,0.0398
ludwig,SV,Defect,-0.324,0.0229
ludwig,SV,Design,-0.303,0.0345
ludwig,SV,Documentation,-0.462,0.0008
ludwig,SV,M&T,-0.486,0.0004
ludwig,SV,Requirement,-0.367,0.0095
ludwig,OS,Code,-0.31,0.0303
ludwig,OS,Defect,-0.354,0.0126
ludwig,OS,Design,-0.334,0.019
ludwig,OS,Documentation,-0.383,0.0067
ludwig,OS,M&T,-0.396,0.0048
ludwig,OS,Requirement,-0.369,0.0091
ludwig,RS,Code,0.484,0.0004
ludwig,RS,Defect,0.498,0.0003
ludwig,RS,Design,0.504,0.0002
ludwig,RS,Documentation,0.57,0.0
ludwig,RS,M&T,0.557,0.0
ludwig,RS,Requirement,0.532,0.0001
ludwig,TF,Code,0.328,0.0215
ludwig,TF,Defect,0.338,0.0175
ludwig,TF,Design,0.341,0.0165
ludwig,TF,Documentation,0.389,0.0058
ludwig,TF,M&T,0.416,0.003
ludwig,TF,Requirement,0.379,0.0072
ludwig,UI,Code,-0.2,0.1683
ludwig,UI,Defect,-0.179,0.2173
ludwig,UI,Design,-0.216,0.1366
ludwig,UI,Documentation,-0.26,0.0708
ludwig,UI,M&T,-0.257,0.0747
ludwig,UI,Requirement,-0.216,0.1357
pyro,OSE,Code,0.472,0.0048
pyro,OSE,Defect,0.494,0.003
pyro,OSE,Design,0.573,0.0004
pyro,OSE,Documentation,0.553,0.0007
pyro,OSE,M&T,0.455,0.0069
pyro,OSE,Requirement,0.486,0.0036
pyro,BCE,Code,0.142,0.423
pyro,BCE,Defect,0.281,0.1075
pyro,BCE,Design,0.196,0.2658
pyro,BCE,Documentation,0.221,0.2098
pyro,BCE,M&T,0.297,0.0878
pyro,BCE,Requirement,0.275,0.1154
pyro,SV,Code,0.473,0.0047
pyro,SV,Defect,0.43,0.0112
pyro,SV,Design,0.524,0.0015
pyro,SV,Documentation,0.451,0.0075
pyro,SV,M&T,0.558,0.0006
pyro,SV,Requirement,0.346,0.0447
pyro,SD,Code,0.201,0.2536
pyro,SD,Defect,0.172,0.3309
pyro,SD,Design,0.221,0.2095
pyro,SD,Documentation,0.215,0.2211
pyro,SD,M&T,0.17,0.3365
pyro,SD,Requirement,0.172,0.3301
pyro,RS,Code,0.213,0.2276
pyro,RS,Defect,0.36,0.0365
pyro,RS,Design,0.271,0.1212
pyro,RS,Documentation,0.291,0.0944
pyro,RS,M&T,0.108,0.5437
pyro,RS,Requirement,0.4,0.019
pyro,TF,Code,0.207,0.2395
pyro,TF,Defect,0.275,0.1161
pyro,TF,Design,0.283,0.1043
pyro,TF,Documentation,0.163,0.356
pyro,TF,M&T,0.254,0.1474
pyro,TF,Requirement,0.334,0.0535
compromise,OSE,Code,-0.089,0.4529
compromise,OSE,Defect,0.043,0.7131
compromise,OSE,Design,0.082,0.4889
compromise,OSE,Documentation,0.258,0.0266
compromise,OSE,M&T,0.081,0.4944
compromise,OSE,Requirement,0.062,0.5974
compromise,BCE,Code,0.042,0.7247
compromise,BCE,Defect,-0.054,0.6477
compromise,BCE,Design,-0.08,0.4983
compromise,BCE,Documentation,-0.171,0.1454
compromise,BCE,M&T,-0.281,0.0155
compromise,BCE,Requirement,-0.183,0.1179
compromise,SV,Code,-0.16,0.1723
compromise,SV,Defect,0.121,0.3062
compromise,SV,Design,0.128,0.2789
compromise,SV,Documentation,0.297,0.0103
compromise,SV,M&T,0.253,0.0298
compromise,SV,Requirement,0.166,0.1585
compromise,OS,Code,-0.093,0.4313
compromise,OS,Defect,-0.12,0.3078
compromise,OS,Design,-0.088,0.4553
compromise,OS,Documentation,0.147,0.2121
compromise,OS,M&T,0.273,0.0188
compromise,OS,Requirement,0.036,0.7638
compromise,SD,Code,-0.223,0.0563
compromise,SD,Defect,0.082,0.4866
compromise,SD,Design,0.121,0.3043
compromise,SD,Documentation,0.133,0.2593
compromise,SD,M&T,0.119,0.3117
compromise,SD,Requirement,0.17,0.1475
compromise,RS,Code,0.002,0.9883
compromise,RS,Defect,0.388,0.0006
compromise,RS,Design,0.329,0.0042
compromise,RS,Documentation,0.239,0.0407
compromise,RS,M&T,0.298,0.0099
compromise,RS,Requirement,0.193,0.0986
compromise,TF,Code,0.093,0.4313
compromise,TF,Defect,0.12,0.3078
compromise,TF,Design,0.088,0.4553
compromise,TF,Documentation,-0.147,0.2121
compromise,TF,M&T,-0.273,0.0188
compromise,TF,Requirement,-0.036,0.7638
compromise,UI,Code,-0.324,0.0049
compromise,UI,Defect,0.025,0.835
compromise,UI,Design,0.081,0.4917
compromise,UI,Documentation,0.277,0.0167
compromise,UI,M&T,0.249,0.0324
compromise,UI,Requirement,0.106,0.3702
scanpy,OSE,Code,0.035,0.7422
scanpy,OSE,Defect,0.101,0.3483
scanpy,OSE,Design,0.227,0.0322
scanpy,OSE,Documentation,0.232,0.0285
scanpy,OSE,M&T,0.146,0.1717
scanpy,OSE,Requirement,0.219,0.0395
scanpy,SV,Code,0.057,0.5963
scanpy,SV,Defect,0.289,0.006
scanpy,SV,Design,0.464,0.0
scanpy,SV,Documentation,0.407,0.0001
scanpy,SV,M&T,0.226,0.0331
scanpy,SV,Requirement,0.413,0.0001
scanpy,RS,Code,-0.035,0.7422
scanpy,RS,Defect,-0.101,0.3483
scanpy,RS,Design,-0.227,0.0322
scanpy,RS,Documentation,-0.267,0.0114
scanpy,RS,M&T,-0.146,0.1717
scanpy,RS,Requirement,-0.201,0.0595
MMdnn,OSE,Defect,0.44,0.1757
MMdnn,OSE,Design,0.383,0.2455
MMdnn,OSE,Documentation,0.285,0.396
MMdnn,OSE,M&T,0.516,0.1039
MMdnn,OSE,Requirement,0.478,0.1368
MMdnn,BCE,Defect,0.305,0.3624
MMdnn,BCE,Design,0.143,0.6738
MMdnn,BCE,Documentation,0.342,0.3037
MMdnn,BCE,M&T,0.43,0.1864
MMdnn,BCE,Requirement,0.34,0.3062
MMdnn,SV,Defect,0.44,0.1757
MMdnn,SV,Design,0.383,0.2455
MMdnn,SV,Documentation,0.285,0.396
MMdnn,SV,M&T,0.516,0.1039
MMdnn,SV,Requirement,0.478,0.1368
MMdnn,OS,Defect,0.045,0.8945
MMdnn,OS,Design,0.257,0.4461
MMdnn,OS,Documentation,0.191,0.5736
MMdnn,OS,M&T,-0.289,0.3893
MMdnn,OS,Requirement,0.086,0.8025
MMdnn,SD,Defect,0.254,0.4513
MMdnn,SD,Design,0.383,0.2455
MMdnn,SD,Documentation,0.285,0.396
MMdnn,SD,M&T,0.043,0.9
MMdnn,SD,Requirement,0.361,0.275
MMdnn,RS,Defect,0.305,0.3624
MMdnn,RS,Design,0.143,0.6738
MMdnn,RS,Documentation,0.342,0.3037
MMdnn,RS,M&T,0.43,0.1864
MMdnn,RS,Requirement,0.34,0.3062
MMdnn,TF,Defect,0.454,0.1606
MMdnn,TF,Design,0.449,0.1657
MMdnn,TF,Documentation,0.65,0.0305
MMdnn,TF,M&T,0.289,0.3893
MMdnn,TF,Requirement,0.542,0.0852
MMdnn,UI,Defect,-0.204,0.5467
MMdnn,UI,Design,-0.355,0.2839
MMdnn,UI,Documentation,-0.019,0.9555
MMdnn,UI,M&T,-0.289,0.3893
MMdnn,UI,Requirement,-0.228,0.4999
deepchem,BCE,Code,-0.112,0.6495
deepchem,BCE,Defect,-0.017,0.9442
deepchem,BCE,Design,0.42,0.0731
deepchem,BCE,Documentation,-0.121,0.6211
deepchem,BCE,M&T,0.054,0.826
deepchem,BCE,Requirement,0.098,0.6892
deepchem,SV,Code,0.031,0.8995
deepchem,SV,Defect,-0.033,0.8927
deepchem,SV,Design,-0.334,0.1616
deepchem,SV,Documentation,-0.026,0.9173
deepchem,SV,M&T,-0.119,0.6265
deepchem,SV,Requirement,-0.109,0.6554
deepchem,OS,Code,0.425,0.07
deepchem,OS,Defect,0.283,0.241
deepchem,OS,Design,0.011,0.9651
deepchem,OS,Documentation,0.397,0.0924
deepchem,OS,M&T,0.187,0.4442
deepchem,OS,Requirement,0.312,0.1928
deepchem,SD,Code,0.271,0.2612
deepchem,SD,Defect,0.278,0.2496
deepchem,SD,Design,0.018,0.9418
deepchem,SD,Documentation,0.218,0.3708
deepchem,SD,M&T,0.283,0.24
deepchem,SD,Requirement,0.208,0.3925
deepchem,RS,Code,0.108,0.6602
deepchem,RS,Defect,0.163,0.5055
deepchem,RS,Design,0.399,0.091
deepchem,RS,Documentation,0.125,0.6113
deepchem,RS,M&T,0.351,0.1403
deepchem,RS,Requirement,0.203,0.4052
deepchem,TF,Code,0.284,0.2388
deepchem,TF,Defect,0.28,0.2448
deepchem,TF,Design,0.11,0.6528
deepchem,TF,Documentation,0.273,0.2582
deepchem,TF,M&T,0.338,0.1573
deepchem,TF,Requirement,0.234,0.3345
deepchem,UI,Code,-0.018,0.9413
deepchem,UI,Defect,-0.165,0.5009
deepchem,UI,Design,-0.374,0.1147
deepchem,UI,Documentation,-0.012,0.9621
deepchem,UI,M&T,-0.215,0.3764
deepchem,UI,Requirement,-0.158,0.5172
