File,Index,Comment,Detected Smells
mne-python_satd.csv,44,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,310,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,566,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,815,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,1065,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,1308,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,1545,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,1774,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,2001,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,2230,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,2459,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,2688,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,2914,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,3138,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,3361,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,3580,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,3802,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,4027,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,4234,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,4440,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,4642,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,4845,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,5064,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,5288,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,5508,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,5716,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,5924,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,6132,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,6340,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,6545,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,6741,make things complex again...?,Black Cloud Effect
mne-python_satd.csv,9898,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10038,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10162,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10286,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10404,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10516,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10621,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10710,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10786,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10855,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
mne-python_satd.csv,10913,"This is a bit ugly, but it avoids running this again.",Black Cloud Effect
PyKEEN_satd.csv,120,TODO: checkpoint_dict not further used; later loaded again by TrainingLoop.train,Black Cloud Effect
PyKEEN_satd.csv,261,TODO: checkpoint_dict not further used; later loaded again by TrainingLoop.train,Black Cloud Effect
PyKEEN_satd.csv,381,TODO: checkpoint_dict not further used; later loaded again by TrainingLoop.train,Black Cloud Effect
PyKEEN_satd.csv,501,TODO: checkpoint_dict not further used; later loaded again by TrainingLoop.train,Black Cloud Effect
pyro_satd.csv,57,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,158,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,259,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,360,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,461,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,563,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,666,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,769,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,872,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
pyro_satd.csv,969,XXX replay against an empty Trace to ensure densities are not double-counted,Black Cloud Effect
tesseract_satd.csv,76,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,276,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,476,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,674,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,872,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,1071,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,1268,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,1465,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,1662,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,1859,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,2056,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,2253,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,2450,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,2646,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,2841,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,3036,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,3229,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,3422,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,3615,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,3806,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4001,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4196,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4389,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4579,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4765,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,4954,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,5143,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,5323,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,5495,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,5670,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,5844,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,6021,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
tesseract_satd.csv,6203,TODO(nbeato): Need to find good numbers again.,Black Cloud Effect
ludwig_satd.csv,141,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,235,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
ludwig_satd.csv,425,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,518,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
ludwig_satd.csv,708,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,801,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
ludwig_satd.csv,991,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,1084,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
ludwig_satd.csv,1274,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,1367,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
ludwig_satd.csv,1554,TODO(#1673): Need some more logic here for validating against output features,Black Cloud Effect
ludwig_satd.csv,1645,"TODO(Arnav): Seems like doing this again and going between these format types in unnecessary, but",Black Cloud Effect
