File,Smell,Correlation,P-value,Significant
incubator-mxnet_cs+satd.csv,OSE,0.148,0.43461,❌
incubator-mxnet_cs+satd.csv,BCE,0.417,0.02178,✅
incubator-mxnet_cs+satd.csv,PDE,,,❌
incubator-mxnet_cs+satd.csv,SV,0.008,0.96472,❌
incubator-mxnet_cs+satd.csv,OS,0.387,0.03444,✅
incubator-mxnet_cs+satd.csv,SD,,,❌
incubator-mxnet_cs+satd.csv,RS,0.257,0.17098,❌
incubator-mxnet_cs+satd.csv,TF,0.322,0.08319,❌
incubator-mxnet_cs+satd.csv,UI,0.017,0.92873,❌
incubator-mxnet_cs+satd.csv,TC,0.291,0.11917,❌
OpenVINO-model-server_cs+satd.csv,OSE,,,❌
OpenVINO-model-server_cs+satd.csv,BCE,0.122,0.57067,❌
OpenVINO-model-server_cs+satd.csv,PDE,,,❌
OpenVINO-model-server_cs+satd.csv,SV,0.137,0.52309,❌
OpenVINO-model-server_cs+satd.csv,OS,,,❌
OpenVINO-model-server_cs+satd.csv,SD,,,❌
OpenVINO-model-server_cs+satd.csv,RS,0.286,0.17583,❌
OpenVINO-model-server_cs+satd.csv,TF,0.274,0.19494,❌
OpenVINO-model-server_cs+satd.csv,UI,0.187,0.38043,❌
OpenVINO-model-server_cs+satd.csv,TC,,,❌
compromise_cs+satd.csv,OSE,0.123,0.29782,❌
compromise_cs+satd.csv,BCE,-0.192,0.1006,❌
compromise_cs+satd.csv,PDE,,,❌
compromise_cs+satd.csv,SV,0.262,0.02415,✅
compromise_cs+satd.csv,OS,0.108,0.36188,❌
compromise_cs+satd.csv,SD,0.137,0.24305,❌
compromise_cs+satd.csv,RS,0.383,0.00076,✅
compromise_cs+satd.csv,TF,-0.108,0.36188,❌
compromise_cs+satd.csv,UI,0.175,0.13523,❌
compromise_cs+satd.csv,TC,,,❌
nlp.js_cs+satd.csv,OSE,0.116,0.46287,❌
nlp.js_cs+satd.csv,BCE,-0.116,0.46287,❌
nlp.js_cs+satd.csv,PDE,,,❌
nlp.js_cs+satd.csv,SV,0.167,0.29146,❌
nlp.js_cs+satd.csv,OS,,,❌
nlp.js_cs+satd.csv,SD,0.116,0.46287,❌
nlp.js_cs+satd.csv,RS,0.296,0.05659,❌
nlp.js_cs+satd.csv,TF,,,❌
nlp.js_cs+satd.csv,UI,0.116,0.46287,❌
nlp.js_cs+satd.csv,TC,,,❌
EconML_cs+satd.csv,OSE,0.205,0.26887,❌
EconML_cs+satd.csv,BCE,,,❌
EconML_cs+satd.csv,PDE,,,❌
EconML_cs+satd.csv,SV,0.481,0.00615,✅
EconML_cs+satd.csv,OS,,,❌
EconML_cs+satd.csv,SD,,,❌
EconML_cs+satd.csv,RS,-0.092,0.6218,❌
EconML_cs+satd.csv,TF,,,❌
EconML_cs+satd.csv,UI,,,❌
EconML_cs+satd.csv,TC,,,❌
mne-python_cs+satd.csv,OSE,0.387,0.00349,✅
mne-python_cs+satd.csv,BCE,0.219,0.10862,❌
mne-python_cs+satd.csv,PDE,,,❌
mne-python_cs+satd.csv,SV,-0.278,0.04014,✅
mne-python_cs+satd.csv,OS,0.019,0.88789,❌
mne-python_cs+satd.csv,SD,,,❌
mne-python_cs+satd.csv,RS,0.426,0.00117,✅
mne-python_cs+satd.csv,TF,0.16,0.24259,❌
mne-python_cs+satd.csv,UI,-0.538,2e-05,✅
mne-python_cs+satd.csv,TC,,,❌
tesseract_cs+satd.csv,OSE,0.402,0.02263,✅
tesseract_cs+satd.csv,BCE,0.565,0.00076,✅
tesseract_cs+satd.csv,PDE,0.604,0.00025,✅
tesseract_cs+satd.csv,SV,-0.224,0.21803,❌
tesseract_cs+satd.csv,OS,,,❌
tesseract_cs+satd.csv,SD,-0.455,0.00894,✅
tesseract_cs+satd.csv,RS,0.689,1e-05,✅
tesseract_cs+satd.csv,TF,0.131,0.4737,❌
tesseract_cs+satd.csv,UI,-0.578,0.00053,✅
tesseract_cs+satd.csv,TC,0.616,0.00018,✅
OpenNMT-py_cs+satd.csv,OSE,0.126,0.38707,❌
OpenNMT-py_cs+satd.csv,BCE,0.25,0.0834,❌
OpenNMT-py_cs+satd.csv,PDE,,,❌
OpenNMT-py_cs+satd.csv,SV,0.161,0.27059,❌
OpenNMT-py_cs+satd.csv,OS,-0.25,0.0834,❌
OpenNMT-py_cs+satd.csv,SD,-0.036,0.80371,❌
OpenNMT-py_cs+satd.csv,RS,0.071,0.62944,❌
OpenNMT-py_cs+satd.csv,TF,0.283,0.04907,✅
OpenNMT-py_cs+satd.csv,UI,,,❌
OpenNMT-py_cs+satd.csv,TC,,,❌
coco-annotator_cs+satd.csv,OSE,0.448,0.02164,✅
coco-annotator_cs+satd.csv,BCE,,,❌
coco-annotator_cs+satd.csv,PDE,,,❌
coco-annotator_cs+satd.csv,SV,0.358,0.0723,❌
coco-annotator_cs+satd.csv,OS,,,❌
coco-annotator_cs+satd.csv,SD,0.358,0.0723,❌
coco-annotator_cs+satd.csv,RS,0.456,0.01914,✅
coco-annotator_cs+satd.csv,TF,-0.248,0.22144,❌
coco-annotator_cs+satd.csv,UI,,,❌
coco-annotator_cs+satd.csv,TC,,,❌
ludwig_cs+satd.csv,OSE,0.011,0.94264,❌
ludwig_cs+satd.csv,BCE,0.401,0.00434,✅
ludwig_cs+satd.csv,PDE,,,❌
ludwig_cs+satd.csv,SV,-0.315,0.02729,✅
ludwig_cs+satd.csv,OS,-0.38,0.0071,✅
ludwig_cs+satd.csv,SD,,,❌
ludwig_cs+satd.csv,RS,0.498,0.00027,✅
ludwig_cs+satd.csv,TF,0.353,0.01298,✅
ludwig_cs+satd.csv,UI,-0.194,0.18142,❌
ludwig_cs+satd.csv,TC,,,❌
MMdnn_cs+satd.csv,OSE,0.574,0.06507,❌
MMdnn_cs+satd.csv,BCE,0.43,0.18629,❌
MMdnn_cs+satd.csv,PDE,,,❌
MMdnn_cs+satd.csv,SV,0.574,0.06507,❌
MMdnn_cs+satd.csv,OS,0.0,1.0,❌
MMdnn_cs+satd.csv,SD,0.382,0.24583,❌
MMdnn_cs+satd.csv,RS,0.344,0.30008,❌
MMdnn_cs+satd.csv,TF,0.462,0.15285,❌
MMdnn_cs+satd.csv,UI,-0.205,0.545,❌
MMdnn_cs+satd.csv,TC,,,❌
scanpy_cs+satd.csv,OSE,0.201,0.05896,❌
scanpy_cs+satd.csv,BCE,,,❌
scanpy_cs+satd.csv,PDE,,,❌
scanpy_cs+satd.csv,SV,0.35,0.00077,✅
scanpy_cs+satd.csv,OS,,,❌
scanpy_cs+satd.csv,SD,,,❌
