Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
dowhy,v0.1.1-alpha,2019-07-15,1,0,0,1,0,1,0,1,0,0,4,14,14
dowhy,v0.2,2020-01-08,0,1,1,0,0,0,1,1,0,1,5,20,20
dowhy,v0.4,2020-05-11,1,1,1,1,0,1,1,1,0,1,8,22,22
dowhy,v0.5,2020-11-21,0,1,1,0,0,0,1,1,0,1,5,25,25
dowhy,v0.5.1,2020-12-12,0,1,1,1,0,0,1,1,0,1,6,25,25
dowhy,v0.6,2021-03-03,1,1,1,1,0,0,1,1,0,1,7,24,24
dowhy,v0.7,2022-01-10,0,1,1,0,0,0,1,1,0,1,5,26,26
dowhy,v0.7.1,2022-03-20,1,0,1,1,0,0,0,1,0,1,5,26,26
dowhy,v0.8,2022-07-18,0,0,1,1,0,0,0,0,0,0,2,29,29
dowhy,v0.9,2022-12-06,0,1,1,0,0,0,1,1,0,1,5,30,30
dowhy,v0.9.1,2022-12-17,1,1,1,1,0,0,1,1,0,1,7,30,30
dowhy,v0.10,2023-07-30,0,1,0,1,0,0,1,1,0,1,5,35,35
dowhy,v0.10.1,2023-09-05,0,1,1,1,0,0,1,1,0,1,6,35,35
dowhy,v0.11,2023-12-06,0,1,1,0,0,0,1,1,0,1,5,39,39
dowhy,v0.11.1,2023-12-25,1,1,1,1,0,1,1,1,0,1,8,39,39
