Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
pai,v0.6.1,2018-07-19,0,1,0,0,1,0,1,1,0,1,5,32,32
pai,v0.7.1,2018-08-31,0,1,1,0,0,0,1,1,0,1,5,26,26
pai,v0.7.2,2018-09-17,0,1,1,0,1,0,1,1,1,1,7,26,26
pai,v0.8.0,2018-10-31,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.8.1,2018-11-19,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.8.2,2018-11-30,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.8.3,2018-12-19,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.9.0,2019-02-02,0,1,1,0,0,0,1,1,0,1,5,21,21
pai,v0.9.1,2019-02-22,0,1,1,0,0,0,1,1,0,1,5,21,21
pai,v0.10.1,2019-03-20,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.11.0,2019-04-03,0,1,1,0,0,0,1,1,0,1,5,24,24
pai,v0.12.0,2019-04-25,0,1,1,0,0,0,1,1,0,1,5,25,25
pai,v0.13.0,2019-06-04,0,1,1,0,1,0,1,1,0,1,6,23,23
pai,v0.14.0,2019-07-23,0,1,1,1,1,0,0,1,1,1,7,32,32
pai,v0.17.0,2020-02-20,1,0,1,0,0,0,0,1,1,0,4,37,37
pai,v1.0.0,2020-05-22,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.0.1,2020-06-02,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.1.0,2020-07-21,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.1.1,2020-07-27,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.2.0,2020-09-24,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.2.1,2020-10-15,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.3.0,2020-11-10,0,1,1,0,0,0,1,1,0,1,5,35,35
pai,v1.4.0,2020-12-09,0,1,1,0,0,0,1,1,0,1,5,35,35
pai,v1.4.1,2020-12-24,0,1,1,0,0,0,1,1,0,1,5,35,35
pai,v1.5.0,2021-01-27,0,1,1,0,0,0,1,1,0,1,5,33,33
pai,v1.6.0,2021-03-18,0,1,1,0,0,0,1,1,0,1,5,34,34
pai,v1.7.0,2021-04-28,0,1,1,0,0,0,1,1,0,1,5,34,34
