Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
AirSim,v1.0.0,2017-09-01,0,1,0,0,0,0,1,1,0,1,4,40,40
AirSim,v1.1.1,2017-09-28,0,1,1,0,0,0,1,1,0,1,5,42,42
AirSim,v1.1.3,2017-10-05,0,1,1,1,0,0,1,1,0,1,6,47,47
AirSim,v1.1.4,2017-11-08,0,1,1,0,0,0,1,1,0,1,5,47,47
AirSim,v1.1.5,2017-11-13,0,1,1,0,0,0,1,1,0,1,5,47,47
AirSim,v1.1.6,2017-11-23,0,1,1,0,0,0,1,1,0,1,5,48,48
AirSim,v1.1.7,2017-12-01,1,0,1,1,0,0,0,1,0,0,4,49,49
AirSim,v1.1.8,2018-02-16,0,1,1,1,0,0,1,1,0,1,6,49,49
AirSim,v1.1.9,2018-03-21,0,1,1,1,0,0,1,1,0,1,6,52,52
AirSim,v1.1.10,2018-04-12,1,0,1,1,0,0,0,1,0,0,4,52,52
AirSim,v1.2.0,2018-06-20,0,1,1,1,1,1,0,1,0,1,7,73,73
AirSim,v1.2.0Linux,2019-01-12,1,0,1,1,1,1,1,1,0,0,7,77,77
AirSim,v.1.2.2,2019-05-15,1,0,1,1,1,0,0,1,0,0,5,136,136
AirSim,v1.3.0-Windows,2020-03-31,0,1,0,0,0,0,1,1,0,1,4,134,134
AirSim,v1.3.0-linux,2020-03-31,0,1,0,0,0,0,1,1,0,1,4,134,134
AirSim,v1.3.1-linux,2020-04-08,0,0,1,1,0,1,0,0,0,0,3,134,134
AirSim,v1.3.1-windows,2020-04-08,0,0,1,1,0,1,0,0,0,0,3,134,134
AirSim,v1.4.0-windows,2021-01-13,0,0,1,1,0,0,0,0,0,0,2,134,134
AirSim,v1.5.0-linux,2021-05-19,0,1,1,1,0,0,0,1,0,1,5,131,131
AirSim,v1.5.0-windows,2021-05-19,0,1,1,1,0,0,0,1,0,1,5,131,131
AirSim,v1.6.0-linux,2021-08-24,0,0,1,1,0,0,0,1,0,0,3,131,131
AirSim,v1.6.0-windows,2021-08-24,0,0,1,1,0,0,0,1,0,0,3,131,131
AirSim,v1.7.0-windows,2022-01-07,0,1,1,0,0,0,1,1,0,1,5,176,176
AirSim,v1.7.0-linux,2022-01-13,1,1,1,1,0,0,0,1,0,1,6,174,174
AirSim,v1.8.0-linux,2022-06-13,0,1,1,0,0,0,1,1,0,1,5,173,173
AirSim,v1.8.0-windows,2022-06-13,0,1,1,0,0,0,1,1,0,1,5,173,173
