Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
DALI,0.1.0,2018-06-28,0,1,1,0,0,0,0,1,0,1,4,29,29
DALI,0.1.1,2018-06-29,0,1,1,0,0,0,1,1,0,1,5,29,29
DALI,0.1.2,2018-07-31,0,1,1,0,0,0,1,1,0,1,5,29,29
DALI,0.2.0,2018-08-27,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.3.0,2018-09-26,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.4.0,2018-10-31,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.4.1,2018-11-07,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.5.0,2018-11-26,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.6.0,2018-12-20,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.6.1,2019-01-23,0,1,1,0,0,0,1,1,1,1,6,30,30
DALI,0.7.0,2019-03-07,0,1,1,0,0,0,1,1,0,1,5,30,30
DALI,0.8.0,2019-03-27,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.8.1,2019-04-11,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.9.1,2019-05-02,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.10.0,2019-05-29,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.11.0,2019-06-26,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.12.0,2019-07-25,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.13.0,2019-08-29,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.14.0,2019-09-30,0,1,1,0,0,0,1,1,0,1,5,32,32
DALI,0.15.0,2019-10-28,0,1,1,0,0,0,1,1,0,1,5,33,33
DALI,0.16.0,2019-12-03,0,1,1,0,0,0,1,1,0,1,5,38,38
DALI,0.17.0,2019-12-27,0,1,1,0,0,0,1,1,0,1,5,41,41
DALI,0.18.0,2020-01-17,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.19.0,2020-03-02,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.20.0,2020-03-27,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.21.0,2020-04-28,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.22.0,2020-06-09,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.23.0,2020-06-29,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.24.0,2020-07-29,0,1,1,0,0,0,1,1,0,1,5,44,44
DALI,0.25.0,2020-08-28,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.25.1,2020-09-11,0,1,1,0,0,0,1,1,0,1,5,42,42
DALI,0.27.0,2020-10-29,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.28.0,2020-11-30,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.29.0,2020-12-30,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.30.0,2021-01-27,0,1,1,0,0,0,1,1,0,1,5,43,43
DALI,0.31.0,2021-02-25,0,1,1,0,0,0,1,1,0,1,5,40,40
DALI,1.0.0,2021-03-24,0,1,1,0,0,0,1,1,0,1,5,44,44
DALI,1.1.0,2021-04-15,0,1,1,0,0,0,1,1,0,1,5,44,44
DALI,1.2.0,2021-05-24,0,1,1,0,0,0,1,1,0,1,5,45,45
DALI,1.3.0,2021-06-30,0,1,1,0,0,0,1,1,0,1,5,52,52
DALI,1.4.0,2021-07-26,0,1,1,0,0,0,1,1,0,1,5,59,59
DALI,1.5.0,2021-08-23,0,1,1,0,0,0,1,1,0,1,5,67,67
DALI,1.6.0,2021-09-24,0,1,1,0,0,0,1,1,0,1,5,58,58
DALI,1.7.0,2021-10-25,0,1,1,0,0,0,1,1,0,1,5,58,58
DALI,1.8.0,2021-11-22,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.9.0,2022-01-03,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.10.0,2022-01-25,0,1,1,0,0,0,1,1,0,1,5,57,57
DALI,1.11.0,2022-02-28,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.11.1,2022-03-04,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.12.0,2022-03-24,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.13.0,2022-04-22,0,1,1,0,0,0,1,1,0,1,5,56,56
DALI,1.14.0,2022-05-30,0,1,1,0,0,0,1,1,0,1,5,57,57
DALI,1.15.0,2022-06-22,0,1,1,0,0,0,1,1,0,1,5,58,58
DALI,1.16.0,2022-07-25,0,1,1,0,0,0,1,1,0,1,5,61,61
DALI,1.16.1,2022-08-26,0,1,1,0,0,0,1,1,0,1,5,61,61
DALI,1.17.0,2022-10-05,0,1,1,0,0,0,1,1,0,1,5,62,62
DALI,1.18.0,2022-10-05,0,1,1,0,0,0,1,1,0,1,5,62,62
DALI,1.19.0,2022-11-02,0,1,1,0,0,0,1,1,0,1,5,62,62
DALI,1.20.0,2022-11-30,0,1,1,0,0,0,1,1,0,1,5,62,62
DALI,1.21.0,2022-12-28,0,1,1,0,0,0,1,1,0,1,5,213,213
DALI,1.22.0,2023-01-19,0,1,1,0,0,0,1,1,0,1,5,214,214
DALI,1.23.0,2023-02-24,0,1,1,0,0,0,1,1,0,1,5,217,217
DALI,1.24.0,2023-03-27,0,1,1,0,0,0,1,1,0,1,5,224,224
DALI,1.25.0,2023-04-24,0,1,1,0,0,0,1,1,0,1,5,227,227
DALI,1.26.0,2023-05-23,0,1,1,0,0,0,1,1,0,1,5,227,227
DALI,1.27.0,2023-06-27,0,1,1,0,0,0,1,1,0,1,5,232,232
DALI,1.28.0,2023-07-24,0,1,1,0,0,0,1,1,0,1,5,232,232
DALI,1.29.0,2023-08-24,0,1,1,0,0,0,1,1,0,1,5,232,232
DALI,1.30.0,2023-09-28,0,1,1,0,0,0,1,1,0,1,5,232,232
DALI,1.31.0,2023-10-30,0,1,1,0,0,0,1,1,0,1,5,234,234
DALI,1.32.0,2023-11-29,0,1,1,0,0,0,1,1,0,1,5,240,240
DALI,1.33.0,2024-01-03,0,1,1,0,0,0,1,1,0,1,5,241,241
DALI,1.34.0,2024-01-30,0,1,1,0,0,0,1,1,0,1,5,241,241
DALI,1.35.0,2024-02-27,0,1,1,0,0,0,1,1,0,1,5,244,244
DALI,1.36.0,2024-03-25,0,1,1,0,0,0,1,1,0,1,5,242,242
DALI,1.37.0,2024-04-29,0,1,1,0,0,0,1,1,0,1,5,242,242
DALI,1.37.1,2024-05-07,0,1,1,0,0,0,1,1,0,1,5,242,242
DALI,1.38.0,2024-05-29,0,1,1,0,0,0,1,1,0,1,5,240,240
DALI,1.39.0,2024-06-28,0,1,1,0,0,0,1,1,0,1,5,242,242
DALI,1.40.0,2024-07-31,0,1,1,0,0,0,1,1,0,1,5,239,239
DALI,1.41.0,2024-08-29,0,1,1,0,0,0,1,1,0,1,5,239,239
DALI,1.42.0,2024-09-30,0,1,1,0,0,0,1,1,0,1,5,239,239
DALI,1.43.0,2024-10-30,0,1,1,0,0,0,1,1,0,1,5,239,239
DALI,1.44.0,2024-11-28,0,1,1,0,0,0,1,1,0,1,5,238,238
DALI,1.45.0,2025-01-24,0,1,1,0,0,0,1,1,0,1,5,238,238
DALI,1.46.0,2025-01-31,0,1,1,0,0,0,1,1,0,1,5,238,238
