Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
POT,V0.1,2016-10-28,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.3,2016-10-28,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.4,2016-10-28,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.6,2016-10-31,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.7,2016-10-31,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.9,2016-11-04,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.9.1,2016-11-04,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.1.10,2016-11-07,0,1,1,0,0,0,1,1,0,1,5,1,1
POT,V0.1.11,2016-11-07,0,1,1,0,0,0,1,1,0,1,5,1,1
POT,V0.1.12,2017-01-05,0,1,1,0,0,0,0,1,0,1,4,1,1
POT,V0.2,2017-04-07,0,1,1,0,0,0,1,1,0,1,5,1,1
POT,0.3,2017-07-07,0,1,1,0,0,0,1,1,0,1,5,1,1
POT,0.3.1,2017-07-11,0,1,1,1,0,0,0,1,1,1,6,1,1
POT,0.4,2017-09-15,0,1,1,0,0,0,1,1,0,1,5,3,3
POT,0.4.0,2017-09-20,0,0,1,1,0,0,0,1,1,1,5,3,3
POT,0.5.0,2018-10-03,0,1,1,1,0,0,0,1,1,1,6,3,3
POT,0.6.0,2019-09-10,0,0,1,0,0,1,0,1,1,1,5,5,5
POT,0.7.0-beta0,2020-04-23,0,1,1,0,0,0,1,1,0,1,5,5,5
POT,0.7.0,2020-05-05,1,0,1,1,0,1,1,1,0,1,7,5,5
POT,0.8.0,2021-11-05,0,1,1,0,0,0,1,1,0,1,5,5,5
POT,0.8.1,2021-12-27,0,1,1,0,0,0,0,1,0,1,4,6,6
POT,0.8.1.0,2021-12-31,1,1,1,1,0,0,1,1,0,1,7,6,6
POT,0.8.2,2022-04-21,1,1,1,0,0,1,1,1,0,1,7,6,6
POT,0.9.0,2023-04-07,1,1,1,1,0,1,1,1,0,1,8,7,7
POT,0.9.1,2023-08-09,0,1,1,1,0,0,1,1,0,1,6,7,7
POT,0.9.2,2023-12-22,0,1,1,0,0,0,1,1,0,1,5,8,8
POT,0.9.3,2024-01-12,1,1,1,1,0,0,1,1,0,1,7,8,8
POT,0.9.4,2024-06-26,1,1,1,1,0,0,1,1,0,1,7,8,8
