Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
PyKEEN,v0.0.26,2020-06-22,0,1,1,0,0,0,1,1,0,1,5,5,5
PyKEEN,v1.0.0,2020-06-25,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.0.1,2020-07-02,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.0.2,2020-07-10,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.0.3,2020-08-13,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.0.4,2020-08-25,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.0.5,2020-10-21,0,1,1,0,0,0,1,1,0,1,5,26,26
PyKEEN,v1.1.0,2021-01-20,0,1,1,0,0,0,1,1,0,1,5,27,27
PyKEEN,v1.3.0,2021-02-15,0,1,1,0,0,0,1,1,0,1,5,40,40
PyKEEN,v1.4.0,2021-03-04,1,0,1,1,0,0,1,1,0,1,6,45,45
PyKEEN,v1.5.0,2021-06-13,1,1,1,1,0,0,1,1,0,1,7,49,49
PyKEEN,v1.6.0,2021-10-18,0,1,1,0,0,0,1,1,0,1,5,52,52
PyKEEN,v1.7.0,2022-01-11,0,1,1,0,0,0,1,1,0,1,5,62,62
PyKEEN,v1.8.0,2022-03-22,0,1,1,0,0,0,1,1,0,1,5,91,91
PyKEEN,v1.8.1,2022-04-20,0,1,1,0,0,0,1,1,0,1,5,93,93
PyKEEN,v1.8.2,2022-05-24,0,1,1,1,0,0,1,1,0,1,6,100,100
PyKEEN,v1.9.0,2022-08-04,1,1,1,1,0,0,1,1,0,1,7,110,110
PyKEEN,v1.10.0,2023-01-31,0,1,1,0,0,0,1,1,0,1,5,120,120
PyKEEN,v1.10.1,2023-02-22,0,1,1,1,0,0,1,1,0,1,6,120,120
PyKEEN,v1.10.2,2024-02-19,1,1,1,1,0,0,1,1,0,1,7,138,138
