Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
compromise,v0.3.1,2015-02-22,1,1,1,1,0,0,1,1,0,1,7,17,17
compromise,v0.3.9,2015-05-01,0,1,1,0,0,0,0,1,0,1,4,13,13
compromise,v0.4.0,2015-05-03,0,1,1,0,0,0,1,1,0,1,5,18,18
compromise,v0.5.2,2015-05-10,0,1,1,0,0,0,0,1,0,1,4,20,20
compromise,v1.0.0,2015-05-19,0,1,1,0,0,0,0,1,0,1,4,24,24
compromise,v1.1.0,2015-05-29,0,0,1,1,1,0,0,0,1,1,5,26,26
compromise,v7.0.18,2017-02-23,0,1,1,0,0,0,1,1,1,1,6,19,19
compromise,v9.0.0,2017-04-02,0,1,1,0,0,0,1,1,0,1,5,19,19
compromise,v9.1.0,2017-04-04,0,1,1,0,0,0,1,1,0,1,5,19,19
compromise,v10.0.0,2017-04-21,0,1,1,1,0,1,0,1,1,1,7,21,21
compromise,12.0.0,2019-11-28,0,1,1,0,0,0,1,1,0,1,5,25,25
compromise,12.3.0,2020-01-10,0,1,1,0,0,0,1,1,1,1,6,25,25
compromise,13.0.0,2020-02-01,0,1,1,0,0,0,1,1,0,1,5,25,25
compromise,13.1.1,2020-02-29,0,1,1,0,0,0,1,1,0,1,5,25,25
compromise,13.2.0,2020-04-25,0,1,1,1,0,0,1,1,0,1,6,25,25
compromise,13.3.0,2020-06-10,0,1,1,0,0,0,1,1,0,1,5,25,25
compromise,13.3.1,2020-06-11,1,1,1,1,0,0,1,1,0,1,7,24,24
compromise,13.3.2,2020-08-07,0,1,1,0,0,0,1,1,0,1,5,24,24
compromise,13.4.0,2020-09-10,0,1,1,0,0,0,1,1,0,1,5,24,24
compromise,13.5.0,2020-09-10,0,1,1,0,0,0,1,1,0,1,5,24,24
compromise,13.6.0,2020-10-16,0,1,1,0,0,0,1,1,0,1,5,24,24
compromise,13.7.0,2020-10-29,0,1,1,0,0,0,1,1,1,1,6,25,25
compromise,13.8.0,2020-12-18,0,1,1,0,0,0,1,1,0,1,5,43,43
compromise,13.9.0,2021-02-04,0,1,1,0,0,0,1,1,0,1,5,43,43
compromise,13.9.1,2021-02-04,0,1,1,0,0,0,1,1,0,1,5,43,43
compromise,13.9.2,2021-02-07,0,1,1,0,0,0,1,1,0,1,5,43,43
compromise,13.9.3,2021-02-18,0,1,1,0,0,0,0,1,0,1,4,43,43
compromise,13.10.0,2021-02-22,0,1,1,1,0,0,1,1,0,1,6,46,46
compromise,13.10.1,2021-03-04,0,1,1,0,0,0,1,1,0,1,5,48,48
compromise,13.10.2,2021-03-12,0,1,1,0,0,0,1,1,0,1,5,48,48
compromise,13.10.3,2021-03-18,0,1,1,0,0,0,1,1,0,1,5,48,48
compromise,13.10.4,2021-03-19,0,1,1,0,0,0,1,1,0,1,5,48,48
compromise,13.10.5,2021-03-29,0,1,1,0,0,0,1,1,0,1,5,47,47
compromise,13.10.6,2021-04-06,0,1,1,0,0,0,1,1,0,1,5,47,47
compromise,13.11.0,2021-04-15,0,1,1,0,0,0,1,1,0,1,5,47,47
compromise,13.11.1,2021-04-18,0,1,1,0,0,0,1,1,0,1,5,47,47
compromise,13.11.2,2021-05-05,1,1,1,1,0,1,1,1,0,1,8,47,47
compromise,13.11.3,2021-06-21,0,0,1,1,0,0,0,1,1,1,5,47,47
compromise,13.11.4,2021-09-20,0,1,1,1,0,0,1,1,1,1,7,47,47
compromise,14.0.0,2022-03-22,0,1,1,0,0,0,1,1,0,1,5,11,11
compromise,14.1.0,2022-04-12,0,1,1,0,0,0,0,1,0,1,4,11,11
compromise,14.1.1,2022-04-15,0,1,1,0,0,0,0,1,0,1,4,11,11
compromise,14.1.2,2022-04-27,0,1,1,0,0,0,1,1,1,1,6,11,11
compromise,14.2.0,2022-06-01,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.2.1,2022-06-03,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.3.0,2022-06-08,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.3.1,2022-06-15,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.4.0,2022-07-02,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.4.1,2022-07-27,0,1,1,0,0,0,1,1,0,1,5,12,12
compromise,14.4.2,2022-07-29,0,1,1,0,0,0,1,1,0,1,5,12,12
compromise,14.4.3,2022-08-02,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.4.4,2022-08-03,0,1,1,0,0,0,0,1,0,1,4,12,12
compromise,14.4.5,2022-08-10,0,1,1,0,0,0,1,1,0,1,5,12,12
compromise,14.5.0,2022-08-26,0,1,1,0,0,0,1,1,0,1,5,12,12
