Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
deepchem,0.0.1,2016-01-29,0,1,1,0,0,0,0,1,0,1,4,31,31
deepchem,0.0.2,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,31
deepchem,0.0.3,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,31
deepchem,0.0.4,2016-01-30,0,0,1,1,0,0,0,0,1,1,4,31,31
deepchem,1.1.0,2017-05-04,0,0,1,1,0,0,0,1,1,1,5,124,124
deepchem,1.2.0,2017-07-18,0,0,1,0,1,0,1,0,1,1,5,124,124
deepchem,1.3.0,2017-10-20,0,1,1,0,0,0,1,1,0,1,5,128,128
deepchem,1.3.1,2017-11-05,0,0,1,1,1,0,0,1,1,1,6,133,133
deepchem,2.0.0,2018-03-03,0,0,1,1,1,0,0,1,1,1,6,129,129
deepchem,2.1.0,2018-07-20,0,0,1,1,0,0,0,0,1,1,4,131,131
deepchem,2.2.0,2019-03-28,0,0,1,1,0,0,0,1,1,1,5,143,143
deepchem,2.3.0,2019-10-11,0,0,1,1,1,1,0,0,1,1,6,146,146
deepchem,2.4.0,2021-01-13,0,0,1,0,0,0,0,0,0,1,2,124,124
deepchem,2.5.0,2021-03-18,0,0,1,1,1,0,0,0,1,1,5,112,112
deepchem,2.6.0,2022-01-11,0,1,1,0,0,0,1,1,0,1,5,112,112
deepchem,2.6.1,2022-01-18,0,0,1,1,1,0,0,0,1,1,5,112,112
deepchem,2.7.0,2022-11-29,0,1,1,0,0,0,0,1,1,1,5,123,123
deepchem,2.7.1,2022-12-01,0,1,1,1,0,0,0,0,1,1,5,123,123
deepchem,2.8.0.pre,2024-04-02,0,1,1,0,0,0,1,1,0,1,5,139,139
