Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
healthcareai-r,v0.1.10,2016-12-30,0,0,1,1,0,0,0,1,1,1,5,,
healthcareai-r,v0.1.11,2017-03-02,0,1,1,0,0,0,1,1,1,1,6,,
healthcareai-r,v0.1.12,2017-05-09,0,1,0,0,0,0,1,1,1,1,5,,
healthcareai-r,v1.0.0,2017-09-01,0,0,1,1,0,0,0,1,1,1,5,,
healthcareai-r,v1.2.0,2017-10-25,0,1,1,0,0,0,1,1,0,1,5,,
healthcareai-r,v1.2.1,2017-11-29,0,1,1,0,0,0,1,1,0,1,5,,
healthcareai-r,v1.2.2,2017-12-04,0,1,1,0,0,0,1,1,0,1,5,,
healthcareai-r,v1.2.3,2017-12-21,0,1,1,0,0,0,1,1,1,1,6,,
healthcareai-r,v1.2.4,2018-02-14,0,1,1,1,0,0,1,1,1,1,7,,
healthcareai-r,v2.0.0.9000,2018-04-03,0,1,1,0,0,0,1,1,1,1,6,0.0,0.0
healthcareai-r,2.0.0,2018-04-20,0,1,1,1,0,0,1,1,0,1,6,0.0,0.0
healthcareai-r,v2.1.0,2018-06-29,0,1,1,0,0,0,0,1,0,1,4,0.0,0.0
healthcareai-r,v2.1.1,2018-07-12,0,1,1,1,0,0,1,1,1,1,7,0.0,0.0
healthcareai-r,v2.2.0,2018-09-01,0,1,1,1,0,0,1,1,1,1,7,0.0,0.0
healthcareai-r,2.3.0,2018-12-16,0,1,1,0,0,0,0,1,0,1,4,0.0,0.0
healthcareai-r,v2.4.0,2020-02-28,0,1,1,0,0,0,0,1,0,1,4,0.0,0.0
