Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
kornia,v0.1.0,2018-10-03,0,1,1,0,0,0,1,1,0,1,5,6,6
kornia,v0.1.1,2019-01-08,0,0,1,1,0,0,0,1,0,1,4,6,6
kornia,v0.1.2,2019-03-14,0,0,1,1,0,0,0,0,1,1,4,17,17
kornia,v0.1.4,2019-10-05,0,0,1,1,0,0,0,1,0,1,4,17,17
kornia,v0.2.0,2020-01-27,1,1,1,1,0,0,1,0,0,1,6,26,26
kornia,v0.2.1,2020-04-21,0,1,1,0,0,0,1,1,0,1,5,27,27
kornia,v0.2.2,2020-04-26,0,1,1,0,0,0,1,1,0,1,5,28,28
kornia,v0.3.0,2020-04-27,0,1,1,0,0,0,1,1,0,1,5,28,28
kornia,v0.3.1,2020-05-10,1,1,1,0,0,0,1,1,0,1,6,36,36
kornia,v0.3.2,2020-08-06,1,1,1,0,0,0,1,1,0,1,6,46,46
kornia,v0.4.0,2020-08-06,1,1,1,0,0,0,1,1,0,1,6,46,46
kornia,v0.4.1,2020-10-20,1,1,1,0,0,0,1,1,0,1,6,49,49
kornia,v0.5.0,2021-03-17,0,1,1,0,0,0,1,1,0,1,5,102,102
kornia,0.5.1,2021-04-30,0,1,1,0,0,0,1,1,0,1,5,103,103
kornia,0.5.2,2021-05-14,0,1,1,0,0,0,1,1,0,1,5,103,103
kornia,0.5.3,2021-05-30,0,1,1,0,0,0,1,1,0,1,5,98,98
kornia,0.5.4,2021-06-11,0,1,1,0,0,0,1,1,0,1,5,97,97
kornia,0.5.5,2021-06-27,0,0,1,0,0,0,1,1,0,1,4,103,103
kornia,0.5.6,2021-07-12,0,1,1,0,0,0,1,1,0,1,5,101,101
kornia,0.5.7,2021-07-26,0,1,1,0,0,0,1,1,0,1,5,101,101
kornia,0.5.8,2021-08-06,0,1,1,0,0,0,1,1,0,1,5,100,100
kornia,0.5.11,2021-09-19,0,1,1,0,0,0,1,1,0,1,5,117,117
kornia,v0.6.0,2021-10-22,0,1,1,0,0,0,1,1,0,1,5,135,135
kornia,v0.6.1,2021-10-22,0,1,1,0,0,0,1,1,0,1,5,135,135
kornia,v0.6.2,2021-12-03,1,1,1,0,0,0,1,1,0,1,6,137,137
kornia,v0.6.3,2022-01-31,1,1,1,0,0,0,1,0,0,1,5,144,144
kornia,v0.6.4,2022-03-21,1,1,1,0,0,0,1,1,0,1,6,153,153
kornia,v0.6.5,2022-05-17,1,1,1,0,0,0,1,0,0,1,5,157,157
kornia,v0.6.6,2022-07-16,0,1,1,0,0,0,1,1,0,1,5,163,163
kornia,v0.6.7,2022-08-30,0,0,1,0,1,0,1,1,0,1,5,164,164
kornia,v0.6.8,2022-10-13,0,0,1,0,0,0,0,0,0,1,2,168,168
kornia,v0.6.9,2022-12-21,0,1,1,0,0,0,1,1,0,1,5,268,268
kornia,v0.6.10,2023-02-17,0,1,1,0,0,0,1,1,0,1,5,289,289
kornia,v0.6.11,2023-03-28,0,1,1,0,0,0,1,1,0,1,5,292,292
kornia,v0.6.12,2023-04-20,1,0,1,1,1,0,1,0,0,1,6,296,296
kornia,v0.7.0,2023-08-02,1,0,1,1,1,0,1,1,0,1,7,314,314
kornia,v0.7.1,2023-12-27,1,0,1,1,0,0,1,0,0,1,5,332,332
kornia,v0.7.2,2024-03-14,1,1,1,1,0,0,1,1,0,1,7,320,320
kornia,v0.7.3,2024-06-28,1,1,1,1,1,0,1,1,0,1,8,324,324
kornia,v0.7.4,2024-11-05,1,1,1,1,0,0,1,1,0,1,7,332,332
