Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
ludwig,v0.1.0,2019-02-11,0,0,1,1,0,0,0,1,0,0,3,3,3
ludwig,v0.1.1,2019-04-09,0,1,0,0,0,0,1,1,0,1,4,5,5
ludwig,v0.1.2,2019-04-27,1,0,1,1,0,0,0,0,0,0,3,6,6
ludwig,v0.2,2019-07-24,0,1,1,1,0,0,0,0,0,0,3,8,8
ludwig,v0.2.1,2019-10-13,0,0,0,1,0,0,0,1,0,1,3,10,10
ludwig,v0.2.2,2020-03-06,0,0,0,1,0,0,0,1,1,1,4,13,13
ludwig,v0.3,2020-10-06,0,1,1,0,0,0,1,1,0,1,5,23,23
ludwig,v0.3.1,2020-11-16,0,1,1,0,0,0,1,1,0,1,5,25,25
ludwig,v0.3.2,2020-12-29,0,1,1,0,0,0,1,1,0,1,5,31,31
ludwig,v0.3.3,2021-02-01,1,1,1,1,0,0,0,1,0,1,6,31,31
ludwig,v0.4,2021-06-15,0,0,1,1,0,0,0,1,0,0,3,42,42
ludwig,v0.4.1,2022-02-01,0,1,1,0,0,0,1,1,0,1,5,67,67
ludwig,v0.5rc1,2022-02-10,0,1,1,0,0,0,1,1,0,1,5,113,113
ludwig,v0.5rc2,2022-03-07,0,0,1,0,1,0,0,0,0,1,3,111,111
ludwig,v0.5,2022-05-10,0,1,1,0,0,0,1,1,0,1,5,125,125
ludwig,v0.5.1,2022-05-23,0,1,1,0,0,0,1,1,0,1,5,124,124
ludwig,v0.5.2,2022-06-08,0,1,1,0,0,0,1,1,0,1,5,125,125
ludwig,v0.5.3,2022-06-25,0,1,1,0,0,0,1,1,0,1,5,124,124
ludwig,v0.5.4,2022-07-12,0,1,1,0,0,0,1,1,0,1,5,124,124
ludwig,v0.5.5,2022-08-02,0,1,1,0,0,0,1,1,0,1,5,123,123
ludwig,v0.6.beta,2022-09-08,0,1,1,0,0,0,1,1,0,1,5,147,147
ludwig,v0.6rc1,2022-09-20,0,1,1,0,0,0,1,1,0,1,5,151,151
ludwig,v0.6,2022-09-27,0,1,1,0,0,0,1,1,0,1,5,151,151
ludwig,v0.6.1,2022-10-04,0,1,1,0,0,0,1,1,0,1,5,154,154
ludwig,v0.6.2,2022-10-13,0,1,1,0,0,0,1,1,0,1,5,154,154
ludwig,v0.6.3,2022-10-20,0,1,1,0,0,0,1,1,0,1,5,154,154
ludwig,v0.6.4,2022-10-28,0,0,1,0,0,0,0,1,0,1,3,154,154
ludwig,v0.7.beta,2023-01-31,0,1,1,0,0,0,1,1,0,1,5,182,182
ludwig,v0.7,2023-02-27,0,1,1,0,0,0,1,1,0,1,5,193,193
ludwig,v0.7.1,2023-03-02,0,1,1,0,0,0,1,1,0,1,5,193,193
ludwig,v0.7.2,2023-03-04,0,1,1,0,0,0,1,1,0,1,5,193,193
ludwig,v0.7.3,2023-03-17,0,1,1,0,0,0,1,1,0,1,5,195,195
ludwig,v0.7.4,2023-03-23,0,1,1,1,0,0,0,1,0,1,5,195,195
ludwig,v0.7.5,2023-08-07,0,1,1,0,0,0,1,1,0,1,5,195,195
ludwig,v0.8,2023-08-09,0,1,1,0,0,0,1,1,0,1,5,249,249
ludwig,v0.8.1,2023-08-11,0,1,1,0,0,0,1,1,0,1,5,251,251
ludwig,v0.8.1.post1,2023-08-15,0,1,1,0,0,0,1,1,0,1,5,251,251
ludwig,v0.8.2,2023-09-01,0,1,1,0,0,0,1,1,0,1,5,253,253
ludwig,v0.8.3,2023-09-12,0,1,1,0,0,0,1,1,0,1,5,257,257
ludwig,v0.8.4,2023-09-19,0,1,1,0,0,0,1,1,0,1,5,261,261
ludwig,v0.8.5,2023-10-09,0,1,1,0,0,0,1,1,0,1,5,269,269
ludwig,v0.8.6,2023-10-13,1,1,1,1,0,0,1,1,0,1,7,273,273
ludwig,v0.9.1,2023-12-20,0,1,1,0,0,0,1,1,0,1,5,278,278
ludwig,v0.9.2,2024-01-16,0,1,1,0,0,0,1,1,0,1,5,277,277
ludwig,v0.9.3,2024-01-23,0,1,1,0,0,0,1,1,0,1,5,278,278
ludwig,v0.10.0,2024-02-22,0,1,1,0,0,0,1,1,0,1,5,283,283
ludwig,v0.10.1,2024-02-28,0,1,1,0,0,0,1,1,0,1,5,283,283
ludwig,v0.10.2,2024-03-21,0,1,1,0,0,0,1,1,0,1,5,283,283
ludwig,v0.10.3,2024-04-08,1,1,1,1,0,0,1,1,0,1,7,283,283
