Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
scanpy,0.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,9,9
scanpy,0.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,15,15
scanpy,0.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.3.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,15,15
scanpy,0.2.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,15,15
scanpy,0.2.6,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,15,15
scanpy,0.2.7,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,17,17
scanpy,0.2.8,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.9,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,16,16
scanpy,0.2.9.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,19,19
scanpy,0.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,10,10
scanpy,0.3.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,10,10
scanpy,0.3.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,10,10
scanpy,0.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,8,8
scanpy,0.4.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,8,8
scanpy,0.4.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,8,8
scanpy,0.4.2.post1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,8,8
scanpy,0.4.2.post2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,26,26
scanpy,0.4.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,25,25
scanpy,0.4.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,26,26
scanpy,1.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,34,34
scanpy,1.0.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,34,34
scanpy,1.0.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.0.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.0.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.1a1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,34,34
scanpy,1.1a2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,35
scanpy,1.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,35
scanpy,1.2.0,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,35
scanpy,1.2.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,35,35
scanpy,1.2.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,33
scanpy,1.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,33
scanpy,1.3.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,33,33
scanpy,1.3.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,32
scanpy,1.3.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,32
scanpy,1.3.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.3.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.3.6,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,32
scanpy,1.3.7,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,32
scanpy,1.3.8,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,31,31
scanpy,1.4.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,32,32
scanpy,1.4.2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,27
scanpy,1.4.3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,27
scanpy,1.4.4,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,28
scanpy,1.4.4.post1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,28
scanpy,1.4.5,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,23
scanpy,1.4.5.post1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,23
scanpy,1.4.5.post2,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,23,23
scanpy,1.4.5.post3,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,25,25
scanpy,1.4.5.1,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,27,27
scanpy,1.4.6,2023-08-25,0,1,1,0,0,0,1,1,0,1,5,28,28
