Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
DeepLabCut,v1.0,2018-08-20,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v1.01,2018-08-23,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v1.02,2018-09-20,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v1.1,2018-10-31,0,1,1,0,0,0,0,1,0,1
DeepLabCut,1.11,2018-11-06,0,1,1,0,0,0,0,1,0,1
DeepLabCut,v2.0.0.dev1,2018-11-07,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.0.dev4,2018-11-14,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.0.dev6,2018-11-20,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.1,2018-11-26,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.3,2019-01-10,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.4,2019-01-28,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.4.1,2019-02-01,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.5,2019-02-24,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.6,2019-05-03,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.6.2,2019-05-05,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.7,2019-06-21,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.8,2019-08-02,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.0.9,2019-09-19,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1,2019-10-06,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.1,2019-10-20,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.4,2019-11-26,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.5,2020-01-14,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.5.2,2020-01-19,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.6,2020-02-15,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.6.4,2020-03-29,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.7.1,2020-04-22,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.8.2,2020-05-17,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2b6,2020-06-05,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2b7,2020-07-15,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2b8,2020-09-09,1,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.1.10,2021-01-22,0,1,0,0,0,0,1,1,0,1
DeepLabCut,v2.1.10.2,2021-03-16,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.1.10.4,2021-04-26,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2rc1,2021-05-03,0,1,1,0,0,0,1,1,0,1
DeepLabCut,2.2rc2,2021-05-27,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2rc3,2021-06-30,0,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.2.0,2021-08-06,1,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.2.0.3,2021-11-19,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2.0.4,2022-01-06,0,1,1,0,0,0,0,1,0,1
DeepLabCut,v2.2.0.5,2022-01-07,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2.0.6,2022-01-21,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.2.1,2022-04-13,1,1,0,1,0,0,1,0,0,1
DeepLabCut,v2.2.1.1,2022-06-21,1,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.2.2,2022-08-22,0,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.2.3,2022-10-08,0,1,1,0,0,0,0,1,0,1
DeepLabCut,v2.3rc1,2022-10-09,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3rc3,2022-11-24,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3,2022-12-23,0,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.3.2,2023-03-18,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3.4,2023-05-01,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3.5,2023-05-31,1,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.3.6,2023-09-20,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3.7,2023-10-10,0,1,1,0,0,0,1,1,0,1
DeepLabCut,v2.3.8,2023-11-07,0,1,1,1,0,0,1,1,0,1
DeepLabCut,v2.3.9,2024-02-08,0,1,0,1,0,0,1,1,0,1
DeepLabCut,v2.3.10,2024-06-07,0,0,1,1,0,1,0,1,0,0
