Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
allennlp,v0.2.0,2017-09-08,0,1,1,0,0,0,1,1,0,1
allennlp,v0.2.3,2017-12-06,0,1,1,0,0,0,1,1,0,1
allennlp,v0.3.0,2017-12-15,0,1,1,0,0,0,1,1,0,1
allennlp,v0.4.0,2018-02-20,0,1,1,0,0,0,1,1,0,1
allennlp,v0.4.1,2018-03-23,0,1,1,0,0,0,1,1,0,1
allennlp,v0.4.2,2018-05-01,0,1,1,0,0,0,1,1,0,1
allennlp,v0.4.3,2018-05-25,0,1,1,0,0,0,1,1,0,1
allennlp,v0.5.0,2018-06-13,0,1,1,0,0,0,1,1,0,1
allennlp,v0.5.1,2018-06-14,0,0,0,1,0,0,0,1,0,0
allennlp,v0.6.0,2018-08-15,0,1,1,0,0,0,1,1,0,1
allennlp,v0.6.1,2018-08-31,0,1,1,0,0,0,1,1,0,1
allennlp,v0.7.0,2018-10-05,0,1,1,0,0,0,1,1,0,1
allennlp,v0.7.1,2018-11-12,0,1,0,0,0,0,1,1,0,1
allennlp,v0.7.2,2018-12-03,0,1,1,0,0,0,1,1,0,1
allennlp,v0.8.0,2018-12-20,0,1,0,0,0,0,1,1,0,1
allennlp,v0.8.1,2019-01-08,0,1,1,0,0,0,1,1,0,1
allennlp,v0.8.2,2019-02-19,0,1,1,0,0,0,1,1,0,1
allennlp,v0.8.3,2019-03-29,0,1,1,0,0,0,1,1,0,0
allennlp,v0.8.4,2019-05-30,1,1,1,1,1,0,0,1,0,1
allennlp,v0.8.5,2019-08-21,0,1,1,0,0,0,1,1,0,1
allennlp,v0.9.0,2019-09-25,0,0,0,1,0,1,0,1,0,0
allennlp,v1.0.0.rc1,2020-04-16,0,1,1,0,0,0,1,1,0,1
allennlp,v1.0.0.rc2,2020-04-23,0,0,1,0,0,0,1,1,0,1
allennlp,v1.0.0rc3,2020-04-27,0,1,1,0,0,0,1,1,0,1
allennlp,v1.0.0rc4,2020-05-14,0,1,1,0,0,0,1,1,0,1
allennlp,v1.0.0rc5,2020-05-26,0,1,1,0,0,0,1,1,0,1
allennlp,v1.0.0rc6,2020-06-11,0,1,1,0,0,0,1,1,0,1
allennlp,v1.0.0,2020-06-16,0,1,1,0,0,0,1,1,0,1
allennlp,v1.1.0rc1,2020-07-14,0,1,1,0,0,0,1,1,0,1
allennlp,v1.1.0rc2,2020-07-31,0,1,1,0,0,0,1,1,0,1
allennlp,v1.1.0rc3,2020-08-12,0,1,1,0,0,0,1,1,0,1
allennlp,v1.1.0rc4,2020-08-20,0,1,1,0,0,0,1,1,0,1
allennlp,v1.1.0,2020-09-08,0,1,1,0,0,0,1,1,0,1
allennlp,v1.2.0rc1,2020-10-22,0,1,1,0,0,0,1,1,0,1
allennlp,v1.2.0,2020-10-29,0,1,1,0,0,0,1,1,0,1
allennlp,v1.2.1,2020-11-11,0,1,1,0,0,0,1,1,0,1
allennlp,v1.2.2,2020-11-17,0,1,1,0,0,0,1,1,0,1
allennlp,v1.3.0,2020-12-15,0,1,1,0,0,0,1,1,0,1
allennlp,v2.0.0rc1,2021-01-22,0,1,1,0,0,0,1,1,0,1
allennlp,v1.4.0,2021-01-27,0,1,1,0,0,0,1,1,0,1
allennlp,v2.0.0,2021-01-27,0,1,1,0,0,0,1,1,0,1
allennlp,v1.4.1,2021-01-29,0,1,1,0,0,0,1,1,0,1
allennlp,v2.0.1,2021-01-29,0,1,1,0,0,0,1,1,0,1
allennlp,v2.1.0,2021-02-24,0,1,1,0,0,0,1,1,0,1
allennlp,v1.5.0,2021-03-01,0,1,1,0,0,0,1,1,0,1
allennlp,v2.2.0,2021-03-26,0,1,1,0,0,0,1,1,0,1
allennlp,v2.3.0,2021-04-14,0,1,1,0,0,0,1,1,0,1
allennlp,v2.3.1,2021-04-20,0,1,1,0,0,0,1,1,0,1
allennlp,v2.4.0,2021-04-23,0,1,1,0,0,0,1,1,0,1
allennlp,v2.5.0,2021-06-03,0,1,1,0,0,0,1,1,0,1
allennlp,v2.6.0,2021-07-19,1,1,1,1,0,0,1,0,0,1
allennlp,v2.7.0,2021-09-01,1,1,1,1,0,0,1,1,0,1
allennlp,v2.8.0,2021-11-01,0,1,1,0,0,0,1,1,0,1
allennlp,v2.9.0,2022-01-27,0,1,1,0,0,0,1,1,0,1
allennlp,v2.9.1,2022-03-09,0,1,1,0,0,0,1,1,0,1
allennlp,v2.9.2,2022-03-21,0,1,1,0,0,0,1,1,0,1
allennlp,v2.9.3,2022-04-14,1,1,1,1,0,0,1,1,0,1
allennlp,v2.10.0,2022-07-14,1,1,1,1,0,1,1,1,0,1
