Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
grobid,grobid-parent-0.3.9,2016-01-11,0,1,0,1,0,0,0,1,1,1
grobid,grobid-parent-0.4.1,2016-10-02,0,0,1,1,0,0,0,1,1,0
grobid,grobid-parent-0.4.2,2017-08-05,0,1,1,0,0,0,1,1,0,1
grobid,grobid-parent-0.4.3,2017-10-07,0,1,1,0,0,0,0,1,0,1
grobid,grobid-parent-0.4.4,2017-10-13,0,1,1,0,0,0,1,1,0,1
grobid,0.5.0,2017-11-09,0,1,1,1,0,0,1,1,0,1
grobid,0.5.1,2018-01-29,1,0,1,1,0,0,0,1,0,1
grobid,0.5.2,2018-10-17,0,1,1,0,0,0,1,1,0,1
grobid,0.5.3,2018-12-10,0,1,1,0,0,0,1,1,0,1
grobid,0.5.4,2019-02-12,0,1,1,1,0,0,1,1,0,1
grobid,0.5.5,2019-05-28,0,1,1,0,0,0,1,1,1,1
grobid,0.5.6,2019-10-16,1,0,1,1,0,0,0,1,0,1
grobid,0.6.0,2020-04-24,0,1,1,0,0,0,1,1,0,1
grobid,0.6.1,2020-08-12,0,0,1,1,0,0,0,1,0,0
grobid,0.6.2,2021-03-20,0,1,1,1,0,0,1,1,1,1
grobid,0.7.0,2021-07-17,0,1,0,1,0,0,0,1,0,0
grobid,0.7.1,2022-04-16,0,1,1,1,0,0,1,1,1,1
grobid,0.7.2,2022-11-21,0,1,1,0,0,0,1,1,0,1
grobid,0.7.3,2023-05-13,0,1,0,0,0,0,1,1,0,1
grobid,0.8.0,2023-11-26,0,0,1,1,0,0,0,1,0,0
