Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
imbalanced-learn,0.1.1,2016-07-09,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.2,2016-07-19,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.3,2016-07-19,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.4,2016-07-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.5,2016-07-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.6,2016-08-09,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.7,2016-08-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.8,2016-09-07,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.1.9,2016-12-26,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.2.0,2016-12-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.2.1,2017-01-01,1,0,1,1,0,0,0,0,0,1
imbalanced-learn,0.3.0,2017-10-09,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.3.1,2017-10-09,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.3.2,2017-12-07,0,1,1,1,0,0,1,1,0,1
imbalanced-learn,0.3.3,2018-02-22,0,1,1,1,0,1,1,1,0,1
imbalanced-learn,0.3.4,2018-09-07,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.4.0,2018-10-12,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.4.1,2018-10-12,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.4.2,2018-10-21,0,1,1,0,0,0,0,1,0,1
imbalanced-learn,0.4.3,2018-11-06,1,1,1,1,0,1,1,1,0,1
imbalanced-learn,0.5.0,2019-06-28,1,1,1,1,0,0,1,1,0,1
imbalanced-learn,0.6.0,2019-12-05,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.6.1,2019-12-07,0,1,1,1,0,0,1,1,0,1
imbalanced-learn,0.6.2,2020-02-16,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.7.0,2020-06-09,1,1,1,1,1,1,1,1,0,1
imbalanced-learn,0.8.0,2021-02-18,1,1,1,1,0,1,1,1,0,1
imbalanced-learn,0.8.1,2021-09-29,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.9.0,2022-01-16,0,1,1,1,0,0,1,1,0,1
imbalanced-learn,0.9.1,2022-05-16,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.10.0,2022-12-09,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.10.1,2023-07-07,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.11.0,2023-07-08,1,1,1,1,0,1,1,1,0,1
imbalanced-learn,0.12.0,2024-01-24,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.12.1,2024-03-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.12.2,2024-03-31,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.12.3,2024-05-28,0,1,1,0,0,0,1,1,0,1
imbalanced-learn,0.12.4,2024-10-04,0,1,1,0,0,0,1,1,0,1
