Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
nilearn,0.8.0,2021-06-16,1,0,1,1,0,0,0,1,0,0
nilearn,0.8.1,2021-09-16,1,1,1,1,0,0,1,1,0,1
nilearn,0.9.0,2022-01-28,1,1,1,1,0,0,1,0,0,1
nilearn,0.9.1,2022-04-13,0,0,1,0,0,0,0,1,0,1
nilearn,0.9.2,2022-08-24,1,0,1,1,0,0,0,1,0,1
nilearn,0.10.0,2023-01-06,0,1,1,0,0,0,1,1,0,1
nilearn,0.10.1rc1,2023-02-28,0,1,1,0,0,0,1,1,0,1
nilearn,0.10.1,2023-04-28,1,1,1,1,0,0,1,1,0,1
nilearn,0.10.2,2023-10-01,0,1,1,0,0,0,1,1,0,1
nilearn,0.10.3,2024-01-29,0,1,1,1,0,0,1,1,0,1
nilearn,0.10.4,2024-04-09,0,1,1,1,0,0,1,1,0,1
nilearn,0.11.0,2024-12-02,0,1,0,0,0,0,1,1,0,1
