Release,Published_at
v1.8.1-windows,2022-07-18T01:34:37Z
v1.8.1,2022-07-18T20:11:48Z
v1.8.0-windows,2022-06-13T07:21:01Z
v1.8.0-linux,2022-06-13T07:21:39Z
v1.7.0-linux,2022-01-13T17:22:36Z
v1.7.0-windows,2022-01-07T12:45:55Z
v1.6.0-windows,2021-08-24T16:34:02Z
v1.6.0-linux,2021-08-24T16:28:26Z
v1.5.0-windows,2021-05-19T16:14:25Z
v1.5.0-linux,2021-05-19T16:13:27Z
v1.4.0-windows,2021-01-13T22:12:47Z
v1.4.0-linux,2021-01-14T15:46:44Z
v1.3.1-windows,2020-04-08T23:46:48Z
v1.3.1-linux,2020-04-08T23:46:54Z
v1.3.0-linux,2020-03-31T01:16:37Z
v1.3.0-Windows,2020-03-31T01:16:18Z
v.1.2.2,2019-05-15T16:57:55Z
v1.2.0Linux,2019-01-12T01:25:22Z
v1.2.1,2019-01-23T19:13:52Z
v1.2.0,2018-06-20T23:25:01Z
v1.1.10,2018-04-12T05:37:43Z
v1.1.9,2018-03-21T08:43:34Z
v1.1.8,2018-02-16T07:33:07Z
v1.1.7,2017-12-01T09:23:20Z
v1.1.6,2017-11-23T04:37:24Z
v1.1.5,2017-11-13T11:20:10Z
v1.1.4,2017-11-08T05:39:44Z
v1.1.3,2017-10-05T01:26:40Z
v1.1.1,2017-09-28T23:31:02Z
v1.0.0,2017-09-01T13:44:18Z
