Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
AmpliGraph,1.0.0-alpha,2019-03-15,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.0.0,2019-03-16,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.0.1,2019-03-22,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.0.2,2019-04-19,1,1,1,1,0,0,1,1,0,1
AmpliGraph,1.0.3,2019-06-07,0,1,1,0,0,0,1,1,1,1
AmpliGraph,1.1.0,2019-08-16,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.2.0,2019-10-22,0,1,1,1,0,0,1,1,1,1
AmpliGraph,1.3.0,2020-03-09,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.3.1,2020-03-18,0,1,1,0,0,0,1,1,0,1
AmpliGraph,1.3.2,2020-08-25,0,1,1,1,0,0,1,1,0,1
AmpliGraph,1.4.0,2021-05-25,0,0,1,0,0,1,0,1,1,1
AmpliGraph,2.0.0,2023-03-08,0,1,1,0,0,0,1,1,0,1
AmpliGraph,2.0.1,2023-07-12,0,1,1,1,0,0,1,1,0,1
