Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
BigDL,v0.1.1,2017-06-16,0,1,1,0,0,0,1,1,0,1
BigDL,v0.2.0,2017-07-24,0,1,1,0,0,0,1,1,0,1
BigDL,v0.3.0,2017-11-08,0,1,1,0,0,0,1,1,0,1
BigDL,v0.4.0,2018-01-04,0,1,1,0,0,0,1,1,0,1
BigDL,v0.13.0,2021-07-09,0,0,1,1,0,0,0,1,1,1
BigDL,v2.0.0,2022-03-09,0,0,1,1,0,0,0,1,1,1
BigDL,v2.2.0,2023-01-19,1,1,1,1,0,0,1,1,0,1
BigDL,v2.3.0,2023-04-24,0,0,1,1,0,0,0,1,0,1
BigDL,v2.4.0,2023-11-13,0,0,1,1,0,0,0,1,1,1
BigDL,v2.1.0,2024-08-22,0,0,1,1,0,0,0,1,1,1
