Release,Published_at
1.2.5,2025-04-02T10:54:20Z
1.2.4,2025-03-29T19:05:40Z
1.2.3,2025-03-10T11:46:52Z
1.2.2,2025-02-26T12:28:00Z
1.2.1,2025-02-19T13:14:53Z
1.2.0,2025-02-09T18:08:32Z
1.0.8,2020-08-22T18:42:43Z
1.0.7,2020-08-20T10:30:54Z
1.1.0a7,2020-05-01T20:57:45Z
1.1.0a6,2020-05-01T20:52:19Z
1.1.0a5,2020-05-01T20:42:53Z
1.1.0a4,2019-05-18T00:29:43Z
1.1.0a3,2019-05-17T23:44:57Z
1.0.6,2020-05-01T20:41:33Z
1.1.0a2,2019-04-10T14:18:03Z
1.1.0a1,2019-04-07T20:40:18Z
1.0.5,2019-03-24T14:49:00Z
1.0.4,2019-02-24T17:34:43Z
1.0.3,2019-02-23T15:20:25Z
1.0.2,2019-02-01T00:15:56Z
1.0.1,2019-01-25T15:09:41Z
1.0.0,2019-01-15T11:28:11Z
1.0.0a4,2019-01-15T11:19:23Z
1.0.0a3,2018-12-15T18:07:44Z
1.0.0a2,2018-10-03T11:13:01Z
1.0.0a1,2018-09-22T12:23:28Z
0.8.7,2018-05-12T13:47:57Z
0.8.6,2018-05-08T22:04:41Z
0.8.5,2018-05-04T23:14:58Z
0.8.4,2018-01-27T21:16:10Z
0.8.3,2018-01-26T12:22:47Z
0.8.2,2018-01-21T13:50:36Z
0.8.1,2017-12-04T12:32:41Z
0.8.0,2017-12-02T15:14:34Z
0.7.6,2017-08-08T01:42:46Z
0.7.5,2017-07-29T15:44:02Z
0.7.4,2017-07-29T14:13:07Z
0.7.3,2017-07-19T23:38:34Z
0.7.2,2017-07-18T11:10:39Z
0.7.1,2017-07-16T20:39:33Z
0.7.0,2017-07-04T13:57:13Z
0.6.3,2017-06-24T18:50:33Z
0.6.2,2017-06-10T11:45:02Z
0.6.1,2017-06-01T23:36:21Z
0.6.0,2017-03-21T19:31:01Z
0.5.5,2017-01-15T20:14:44Z
0.5.4,2016-12-29T23:11:47Z
0.5.3,2016-12-17T11:57:36Z
0.5.2,2016-12-10T21:15:55Z
0.5.1,2016-12-03T15:28:11Z
0.5.0,2016-11-30T19:51:22Z
0.4.14,2016-11-26T16:04:32Z
0.4.13,2016-11-19T13:40:14Z
0.4.12,2016-11-09T02:28:19Z
0.4.11,2016-10-26T19:48:47Z
0.4.10,2016-09-19T11:58:59Z
0.4.9,2016-09-09T00:49:51Z
0.4.8,2016-09-04T00:45:01Z
0.4.7,2016-09-02T14:30:39Z
0.4.6,2016-08-16T20:58:27Z
0.4.5,2016-07-23T12:35:28Z
0.4.4,2016-07-09T13:10:11Z
0.4.3,2016-06-17T00:16:58Z
0.4.2,2016-06-05T11:38:02Z
0.4.1,2016-05-24T12:12:06Z
0.4.0,2016-05-14T10:05:03Z
0.3.7,2016-05-10T12:29:09Z
0.3.6,2016-04-01T09:12:02Z
0.3.5,2016-01-30T17:34:42Z
0.3.4,2016-01-17T13:01:06Z
0.3.3,2016-01-04T11:30:03Z
0.3.2,2015-12-13T21:47:47Z
0.3.1,2015-12-13T21:39:25Z
0.3.0,2015-11-28T16:16:22Z
0.2.9,2015-10-31T21:06:39Z
0.2.8,2015-10-28T00:52:49Z
0.2.7,2015-10-17T19:53:01Z
0.2.6,2015-10-10T17:36:18Z
0.2.5,2015-09-16T23:31:41Z
0.2.4,2015-09-07T16:35:30Z
0.2.3,2015-09-07T16:17:42Z
0.2.2,2015-07-25T11:01:05Z
0.2.1,2015-07-15T12:11:25Z
0.2.0,2015-05-24T19:44:21Z
0.1.1,2015-02-14T15:46:33Z
0.1.0,2015-02-03T11:56:38Z
0.0.5,2015-02-01T01:43:40Z
0.0.4,2015-01-24T21:26:32Z
0.0.3,2015-05-22T22:28:58Z
0.0.2,2014-10-16T00:22:01Z
0.0.1,2014-10-14T22:59:09Z
0.0.0,2014-10-12T00:01:19Z
