Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ChatterBot,0.0.0,2014-10-12,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.0.1,2014-10-14,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.0.2,2014-10-16,1,0,1,1,0,1,0,1,0,1
ChatterBot,0.0.4,2015-01-24,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.0.5,2015-02-01,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.1.0,2015-02-03,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.1.1,2015-02-14,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.2.0,2015-05-24,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.2.1,2015-07-15,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.2.2,2015-07-25,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.2.3,2015-09-07,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.2.4,2015-09-07,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.2.5,2015-09-16,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.2.6,2015-10-10,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.2.7,2015-10-17,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.2.8,2015-10-28,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.2.9,2015-10-31,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.0,2015-11-28,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.1,2015-12-13,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.2,2015-12-13,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.3,2016-01-04,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.4,2016-01-17,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.5,2016-01-30,0,1,1,1,0,0,1,1,0,1
ChatterBot,0.3.6,2016-04-01,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.3.7,2016-05-10,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.4.0,2016-05-14,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.4.1,2016-05-24,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.2,2016-06-05,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.3,2016-06-17,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.4,2016-07-09,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.5,2016-07-23,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.6,2016-08-16,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.7,2016-09-02,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.8,2016-09-04,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.9,2016-09-09,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.10,2016-09-19,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.11,2016-10-26,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.12,2016-11-09,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.4.13,2016-11-19,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.4.14,2016-11-26,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.5.0,2016-11-30,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.5.1,2016-12-03,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.5.2,2016-12-10,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.5.3,2016-12-17,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.5.4,2016-12-29,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.5.5,2017-01-15,1,0,1,1,0,0,1,1,0,1
ChatterBot,0.6.0,2017-03-21,1,1,1,1,0,0,1,1,0,1
ChatterBot,0.6.1,2017-06-01,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.6.2,2017-06-10,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.6.3,2017-06-24,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.7.0,2017-07-04,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.7.1,2017-07-16,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.7.2,2017-07-18,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.7.3,2017-07-19,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.7.4,2017-07-29,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.7.5,2017-07-29,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.7.6,2017-08-08,1,1,1,1,0,1,1,1,0,1
ChatterBot,0.8.0,2017-12-02,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.8.1,2017-12-04,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.8.2,2018-01-21,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.8.3,2018-01-26,0,1,1,0,0,0,0,1,0,1
ChatterBot,0.8.4,2018-01-27,1,1,1,1,0,0,1,1,0,1
ChatterBot,0.8.5,2018-05-04,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.8.6,2018-05-08,0,1,1,0,0,0,1,1,0,1
ChatterBot,0.8.7,2018-05-12,0,0,1,1,0,0,1,1,0,1
ChatterBot,1.0.0a1,2018-09-22,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.0.0a2,2018-10-03,1,0,1,1,0,0,1,1,0,1
ChatterBot,1.0.0a3,2018-12-15,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.0.0a4,2019-01-15,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.0.0,2019-01-15,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.0.1,2019-01-25,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.0.2,2019-02-01,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.0.3,2019-02-23,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.0.4,2019-02-24,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.0.5,2019-03-24,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.1.0a2,2019-04-10,0,1,1,0,1,1,1,1,0,1
ChatterBot,1.0.6,2020-05-01,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.1.0a3,2019-05-17,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.1.0a4,2019-05-18,0,1,1,1,1,0,1,1,0,1
ChatterBot,1.1.0a5,2020-05-01,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.1.0a6,2020-05-01,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.1.0a7,2020-05-01,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.0.7,2020-08-20,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.0.8,2020-08-22,0,1,1,0,0,0,1,1,0,1
ChatterBot,1.2.0,2025-02-09,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.2.1,2025-02-19,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.2.2,2025-02-26,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.2.3,2025-03-10,0,1,1,0,0,0,0,1,0,1
ChatterBot,1.2.4,2025-03-29,0,1,1,0,0,0,0,1,0,1
