Release,Published_at
v1.48.0,2025-03-25T17:57:30Z
v1.47.0,2025-02-25T18:26:31Z
v1.46.0,2025-01-31T17:44:28Z
v1.45.0,2025-01-24T15:08:06Z
v1.44.0,2024-11-28T18:09:35Z
v1.43.0,2024-10-30T17:22:30Z
v1.42.0,2024-09-30T16:53:23Z
v1.41.0,2024-08-29T19:14:26Z
v1.40.0,2024-07-31T11:06:56Z
v1.39.0,2024-06-28T13:53:16Z
v1.38.0,2024-05-29T09:42:13Z
v1.37.1,2024-05-07T16:55:22Z
v1.37.0,2024-04-29T15:41:50Z
v1.36.0,2024-03-25T18:23:41Z
v1.35.0,2024-02-27T17:33:20Z
v1.34.0,2024-01-30T17:28:04Z
v1.33.0,2024-01-03T11:39:27Z
v1.32.0,2023-11-29T17:06:56Z
v1.31.0,2023-10-30T18:27:16Z
v1.30.0,2023-09-28T15:21:56Z
v1.29.0,2023-08-24T13:24:42Z
v1.28.0,2023-07-24T11:29:57Z
v1.27.0,2023-06-27T16:01:36Z
v1.26.0,2023-05-23T15:25:00Z
v1.25.0,2023-04-24T12:27:39Z
v1.24.0,2023-03-27T15:09:27Z
v1.23.0,2023-02-24T15:33:46Z
v1.22.0,2023-01-19T14:43:18Z
v1.21.0,2022-12-28T09:52:43Z
v1.20.0,2022-11-30T16:13:36Z
v1.19.0,2022-11-02T11:11:11Z
v1.18.0,2022-10-05T17:19:39Z
v1.17.0,2022-10-05T17:18:48Z
v1.16.1,2022-08-26T15:16:06Z
v1.16.0,2022-07-25T12:38:50Z
v1.15.0,2022-06-22T14:31:03Z
v1.14.0,2022-05-30T20:49:21Z
v1.13.0,2022-04-22T17:30:55Z
v1.12.0,2022-03-24T12:07:20Z
v1.11.1,2022-03-04T13:36:02Z
v1.11.0,2022-02-28T16:42:57Z
v1.10.0,2022-01-25T10:44:54Z
v1.9.0,2022-01-03T11:30:21Z
v1.8.0,2021-11-22T18:51:41Z
v1.7.0,2021-10-25T07:02:59Z
v1.6.0,2021-09-24T11:23:29Z
v1.5.0,2021-08-23T09:28:43Z
v1.4.0,2021-07-26T10:48:39Z
v1.3.0,2021-06-30T13:15:12Z
v1.2.0,2021-05-24T12:59:54Z
v1.1.0,2021-04-15T13:43:06Z
v1.0.0,2021-03-24T15:26:19Z
v0.31.0,2021-02-25T14:29:29Z
v0.30.0,2021-01-27T17:28:00Z
v0.29.0,2020-12-30T12:56:47Z
v0.28.0,2020-11-30T15:46:55Z
v0.27.0,2020-10-29T16:32:35Z
v0.25.1,2020-09-11T11:22:14Z
v0.26.0,2020-09-29T12:30:09Z
v0.25.0,2020-08-28T20:02:30Z
v0.24.0,2020-07-29T17:20:06Z
v0.23.0,2020-06-29T18:01:27Z
v0.22.0,2020-06-09T08:57:18Z
v0.21.0,2020-04-28T16:39:28Z
v0.20.0,2020-03-27T16:56:01Z
v0.19.0,2020-03-02T17:02:10Z
v0.18.0,2020-01-17T16:54:38Z
v0.17.0,2019-12-27T23:20:18Z
v0.16.0,2019-12-03T00:21:34Z
v0.15.0,2019-10-28T15:31:25Z
v0.14.0,2019-09-30T17:37:21Z
v0.13.0,2019-08-29T15:34:15Z
v0.12.0,2019-07-25T19:43:03Z
v0.11.0,2019-06-26T20:14:25Z
v0.10.0,2019-05-29T10:59:55Z
v0.9.1,2019-05-02T16:15:14Z
v0.8.1,2019-04-11T17:51:56Z
v0.8.0,2019-03-27T18:30:18Z
v0.7.0,2019-03-07T05:54:57Z
v0.6.1,2019-01-23T22:57:05Z
v0.6.0,2018-12-20T01:55:17Z
v0.5.0,2018-11-26T23:26:36Z
v0.4.1,2018-11-07T20:56:23Z
v0.4.0,2018-10-31T22:14:17Z
v0.3.0,2018-09-26T17:50:56Z
v0.2.0,2018-08-27T22:40:18Z
v0.1.2,2018-07-31T00:50:31Z
v0.1.1,2018-06-29T20:26:24Z
v0.1.0,2018-06-28T22:33:34Z
