Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
DALI,v0.1.0,2018-06-28,0,1,1,0,0,0,0,1,0,1
DALI,v0.1.1,2018-06-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.1.2,2018-07-31,0,1,1,0,0,0,1,1,0,1
DALI,v0.2.0,2018-08-27,0,1,1,0,0,0,1,1,0,1
DALI,v0.3.0,2018-09-26,0,1,1,0,0,0,1,1,0,1
DALI,v0.4.0,2018-10-31,0,1,1,0,0,0,1,1,0,1
DALI,v0.4.1,2018-11-07,0,1,1,0,0,0,1,1,0,1
DALI,v0.5.0,2018-11-26,0,1,1,0,0,0,1,1,0,1
DALI,v0.6.0,2018-12-20,0,1,1,0,0,0,1,1,0,1
DALI,v0.6.1,2019-01-23,0,1,1,0,0,0,1,1,1,1
DALI,v0.7.0,2019-03-07,0,1,1,0,0,0,1,1,0,1
DALI,v0.8.0,2019-03-27,0,1,1,0,0,0,1,1,0,1
DALI,v0.8.1,2019-04-11,0,1,1,0,0,0,1,1,0,1
DALI,v0.9.1,2019-05-02,0,1,1,0,0,0,1,1,0,1
DALI,v0.10.0,2019-05-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.11.0,2019-06-26,0,1,1,0,0,0,1,1,0,1
DALI,v0.12.0,2019-07-25,0,1,1,0,0,0,1,1,0,1
DALI,v0.13.0,2019-08-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.14.0,2019-09-30,0,1,1,0,0,0,1,1,0,1
DALI,v0.15.0,2019-10-28,0,1,1,0,0,0,1,1,0,1
DALI,v0.16.0,2019-12-03,0,1,1,0,0,0,1,1,0,1
DALI,v0.17.0,2019-12-27,0,1,1,0,0,0,1,1,0,1
DALI,v0.18.0,2020-01-17,0,1,1,0,0,0,1,1,0,1
DALI,v0.19.0,2020-03-02,0,1,1,0,0,0,1,1,0,1
DALI,v0.20.0,2020-03-27,0,1,1,0,0,0,1,1,0,1
DALI,v0.21.0,2020-04-28,0,1,1,0,0,0,1,1,0,1
DALI,v0.22.0,2020-06-09,0,1,1,0,0,0,1,1,0,1
DALI,v0.23.0,2020-06-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.24.0,2020-07-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.25.0,2020-08-28,0,1,1,0,0,0,1,1,0,1
DALI,v0.25.1,2020-09-11,0,1,1,0,0,0,1,1,0,1
DALI,v0.27.0,2020-10-29,0,1,1,0,0,0,1,1,0,1
DALI,v0.28.0,2020-11-30,0,1,1,0,0,0,1,1,0,1
DALI,v0.29.0,2020-12-30,0,1,1,0,0,0,1,1,0,1
DALI,v0.30.0,2021-01-27,0,1,1,0,0,0,1,1,0,1
DALI,v0.31.0,2021-02-25,0,1,1,0,0,0,1,1,0,1
DALI,v1.0.0,2021-03-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.1.0,2021-04-15,0,1,1,0,0,0,1,1,0,1
DALI,v1.2.0,2021-05-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.3.0,2021-06-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.4.0,2021-07-26,0,1,1,0,0,0,1,1,0,1
DALI,v1.5.0,2021-08-23,0,1,1,0,0,0,1,1,0,1
DALI,v1.6.0,2021-09-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.7.0,2021-10-25,0,1,1,0,0,0,1,1,0,1
DALI,v1.8.0,2021-11-22,0,1,1,0,0,0,1,1,0,1
DALI,v1.9.0,2022-01-03,0,1,1,0,0,0,1,1,0,1
DALI,v1.10.0,2022-01-25,0,1,1,0,0,0,1,1,0,1
DALI,v1.11.0,2022-02-28,0,1,1,0,0,0,1,1,0,1
DALI,v1.11.1,2022-03-04,0,1,1,0,0,0,1,1,0,1
DALI,v1.12.0,2022-03-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.13.0,2022-04-22,0,1,1,0,0,0,1,1,0,1
DALI,v1.14.0,2022-05-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.15.0,2022-06-22,0,1,1,0,0,0,1,1,0,1
DALI,v1.16.0,2022-07-25,0,1,1,0,0,0,1,1,0,1
DALI,v1.16.1,2022-08-26,0,1,1,0,0,0,1,1,0,1
DALI,v1.17.0,2022-10-05,0,1,1,0,0,0,1,1,0,1
DALI,v1.18.0,2022-10-05,0,1,1,0,0,0,1,1,0,1
DALI,v1.19.0,2022-11-02,0,1,1,0,0,0,1,1,0,1
DALI,v1.20.0,2022-11-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.21.0,2022-12-28,0,1,1,0,0,0,1,1,0,1
DALI,v1.22.0,2023-01-19,0,1,1,0,0,0,1,1,0,1
DALI,v1.23.0,2023-02-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.24.0,2023-03-27,0,1,1,0,0,0,1,1,0,1
DALI,v1.25.0,2023-04-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.26.0,2023-05-23,0,1,1,0,0,0,1,1,0,1
DALI,v1.27.0,2023-06-27,0,1,1,0,0,0,1,1,0,1
DALI,v1.28.0,2023-07-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.29.0,2023-08-24,0,1,1,0,0,0,1,1,0,1
DALI,v1.30.0,2023-09-28,0,1,1,0,0,0,1,1,0,1
DALI,v1.31.0,2023-10-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.32.0,2023-11-29,0,1,1,0,0,0,1,1,0,1
DALI,v1.33.0,2024-01-03,0,1,1,0,0,0,1,1,0,1
DALI,v1.34.0,2024-01-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.35.0,2024-02-27,0,1,1,0,0,0,1,1,0,1
DALI,v1.36.0,2024-03-25,0,1,1,0,0,0,1,1,0,1
DALI,v1.37.0,2024-04-29,0,1,1,0,0,0,1,1,0,1
DALI,v1.37.1,2024-05-07,0,1,1,0,0,0,1,1,0,1
DALI,v1.38.0,2024-05-29,0,1,1,0,0,0,1,1,0,1
DALI,v1.39.0,2024-06-28,0,1,1,0,0,0,1,1,0,1
DALI,v1.40.0,2024-07-31,0,1,1,0,0,0,1,1,0,1
DALI,v1.41.0,2024-08-29,0,1,1,0,0,0,1,1,0,1
DALI,v1.42.0,2024-09-30,0,1,1,0,0,0,1,1,0,1
DALI,v1.43.0,2024-10-30,0,1,1,0,0,0,1,1,0,1
