Release,Published_at
v0.9.3,2022-11-10T15:48:23Z
v0.9.2,2022-10-16T08:48:26Z
v0.9.1,2022-06-11T07:34:14Z
v0.9.0,2021-09-03T05:56:59Z
v0.8.7,2021-07-18T16:08:38Z
v0.8.6,2021-06-14T11:40:15Z
v0.8.5,2021-03-13T09:08:33Z
v0.8.4,2021-02-12T11:54:34Z
v0.8.3,2021-01-06T14:40:50Z
v0.8.2,2020-10-11T14:20:49Z
v0.8.1,2020-09-12T00:40:40Z
v0.8.0,2020-06-27T09:18:25Z
v0.7.5,2020-05-17T10:56:10Z
v0.7.4,2020-03-15T10:36:02Z
v0.7.3,2020-03-04T11:03:47Z
v0.7.2,2020-02-08T14:46:37Z
v0.7.1,2020-01-28T06:55:31Z
v0.7.0,2019-11-24T07:39:15Z
v0.6.3,2019-11-06T15:23:44Z
v0.6.2,2019-10-03T10:44:05Z
v0.6.1,2019-09-08T08:57:27Z
v0.6.0,2019-08-02T11:56:43Z
v0.5.2,2019-07-21T08:48:43Z
v0.5.1,2019-07-10T01:59:40Z
v0.5.0,2019-06-30T14:35:54Z
v0.4.1,2019-05-19T03:30:33Z
v0.4.0,2019-05-04T14:32:20Z
v0.3.4,2019-04-27T13:27:34Z
v0.3.3,2019-04-21T15:09:15Z
v0.3.2,2019-03-30T08:22:08Z
v0.3.1,2019-02-17T09:11:59Z
v0.2.3,2019-01-24T14:08:30Z
v0.2.2,2019-01-01T14:52:57Z
v0.2.1,2018-12-27T11:33:54Z
v0.2.0,2018-12-22T15:40:46Z
v0.1.6,2018-12-19T15:05:29Z
v0.1.5,2018-12-13T14:28:11Z
v0.1.4,2018-11-29T04:57:11Z
