Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
DeepCTR,v0.1.4,2018-11-29,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.1.5,2018-12-13,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.1.6,2018-12-19,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.2.0,2018-12-22,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.2.1,2018-12-27,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.2.2,2019-01-01,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.2.3,2019-01-24,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.3.1,2019-02-17,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.3.2,2019-03-30,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.3.3,2019-04-21,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.3.4,2019-04-27,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.4.0,2019-05-04,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.4.1,2019-05-19,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.5.0,2019-06-30,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.5.1,2019-07-10,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.5.2,2019-07-21,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.6.0,2019-08-02,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.6.1,2019-09-08,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.6.2,2019-10-03,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.6.3,2019-11-06,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.7.0,2019-11-24,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.7.1,2020-01-28,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.7.2,2020-02-08,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.7.3,2020-03-04,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.7.4,2020-03-15,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.7.5,2020-05-17,1,1,1,0,0,1,0,1,0,1
DeepCTR,v0.8.0,2020-06-27,1,1,1,0,0,1,1,1,0,1
DeepCTR,v0.8.1,2020-09-12,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.8.2,2020-10-11,1,1,1,1,0,1,1,1,0,1
DeepCTR,v0.8.3,2021-01-06,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.8.4,2021-02-12,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.8.5,2021-03-13,1,1,1,1,0,1,1,1,0,1
DeepCTR,v0.8.6,2021-06-14,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.8.7,2021-07-18,1,1,1,0,0,1,0,1,0,1
DeepCTR,v0.9.0,2021-09-03,0,1,1,0,0,0,1,1,0,1
DeepCTR,v0.9.1,2022-06-11,0,1,1,0,0,0,0,1,0,1
DeepCTR,v0.9.2,2022-10-16,0,1,1,0,0,0,1,1,0,1
