Release,Published_at
"v2.3.11 🐛 fixes, package maintenance (TF only)",2025-02-18T09:06:43Z
v2.3.10,2024-06-07T16:32:04Z
Updates and bug fixes,2024-02-08T18:42:44Z
Expanded GUI features for the DLC ModelZoo,2023-11-07T20:27:54Z
Minor fixes,2023-10-10T14:27:14Z
Bug fixes and minor updates,2023-09-20T21:48:18Z
v2.3.5,2023-05-31T13:54:35Z
Minor updates and bug fixes,2023-05-01T13:29:25Z
Minor updates and bug fixes,2023-03-18T15:03:57Z
Major release with new GUI and paving the way for the Model Zoo!,2022-12-23T21:56:41Z
Updated Release candidate for new GUI. ,2022-11-24T22:17:49Z
v2.3rc1: Release candidate for new GUI. ,2022-10-09T12:32:34Z
minor updates and bug fixes - last stable release before new GUI,2022-10-08T21:52:17Z
Minor update and bug fixes,2022-08-22T17:07:23Z
Minor updates and bugfixes,2022-06-21T11:06:51Z
v2.2.1,2022-04-13T09:22:39Z
Minor updates ,2022-01-21T16:37:47Z
Minor update for backwards compatibility of stitching and tracking,2022-01-07T17:41:51Z
v2.2.0.4,2022-01-06T23:03:38Z
v2.2.0.3,2021-11-19T18:37:22Z
2.2 DeepLabCut,2021-08-06T16:11:31Z
2.2rc3 multi-animal & standard DeepLabCut with TF 2 support!,2021-06-30T21:28:40Z
2.2rc2 multi-animal DeepLabCut,2021-05-27T23:08:29Z
2.2rc1: the first candidate full release of 2.2 multi-animal DeepLabCut,2021-05-03T14:31:10Z
Final stable release before multi-animal DLC (2.2),2021-04-26T17:37:57Z
pypi DeepLabCut update!,2021-03-16T11:08:21Z
EfficientNets integrated! v 2.1.10 released!,2021-01-22T22:10:02Z
DeepLabCut 2.2b8,2020-09-09T13:12:06Z
DeepLabCut v2.2b7 release,2020-07-15T02:15:06Z
DeepLabCut v2.2b6 release,2020-06-05T01:52:08Z
DeepLabCut 2.1.8 Model Zoo,2020-05-17T00:57:02Z
DeepLabCut v2.2b5 release,2020-05-22T23:14:33Z
DeepLabCut 2.1.7.1 Model export,2020-04-22T22:03:14Z
DeepLabCut 2.1.6.4 - minor updates,2020-03-29T19:58:45Z
DeepLabCut 2.1.6 - minor updates,2020-02-15T19:28:09Z
DeepLabCut 2.1.5.2 - minor updates,2020-01-19T21:53:25Z
DeepLabCut 2.1.5 - minor updates,2020-01-14T03:23:35Z
DeepLabCut 2.1.4 - minor updates,2019-11-26T02:38:30Z
DeepLabCut 2.1.1,2019-10-20T01:07:22Z
DeepLabCut 2.1,2019-10-06T02:45:19Z
"DeepLabCut 2.0.9 (including rotation, etc. augmentation via Tensorpack, multi instance detection, utility functions and more)",2019-09-19T22:43:52Z
DeepLabCut 2.0.8 (including 3D support and with pre-trained human network),2019-08-02T21:11:36Z
DeepLabCut 2.0.7 (including 3D support),2019-06-21T02:25:08Z
"Python package with novel GUIs for Windows, Ubuntu and MacOS",2019-05-05T13:50:14Z
"Python package with novel GUIs for Windows, Ubuntu and MacOS",2019-05-03T19:29:11Z
"Python package with novel GUIs for Windows, Ubuntu and MacOS",2019-02-24T01:24:03Z
Python package with GUIs,2019-02-01T23:37:36Z
Python package with GUIs,2019-01-28T03:10:45Z
Python package with GUIs,2019-01-10T23:30:45Z
DLC 2.0 - python package with GUIs,2018-11-26T02:53:35Z
Python package with GUIs,2018-11-20T00:05:20Z
Python package with GUIs,2018-11-14T01:29:05Z
Python package with GUIs ,2018-11-07T06:27:36Z
"Nature Neuroscience version + inference speed update, Nov 6, 2018",2018-11-06T16:27:26Z
"Nature Neuroscience version + inference speed update, Oct 30 2018",2018-10-31T02:19:21Z
"Nature Neuroscience version, Sep 20 2018",2018-09-20T17:58:48Z
"Nature Neuroscience version, Aug 22 2018",2018-08-23T01:47:05Z
"Nature Neuroscience version, Aug 20 2018",2018-08-20T18:25:02Z
