Release,Published_at
v0.15.1,2024-07-04T19:00:22Z
v0.15.0,2024-02-27T17:42:09Z
v0.15.0b1,2024-02-27T17:38:11Z
v0.14.1,2023-05-22T14:21:32Z
v0.14.0,2022-11-16T23:04:48Z
v0.13.1,2022-11-16T19:52:23Z
v0.13.0,2022-02-09T19:56:17Z
v0.12.0,2021-08-14T21:22:49Z
v0.12.0b6,2021-08-07T18:39:51Z
v0.12.0b5,2021-08-07T18:39:14Z
v0.12.0b4,2021-07-13T16:19:24Z
v0.12.0b3,2021-07-02T16:05:19Z
v0.12.0b2,2021-06-19T14:42:57Z
v0.12.0b1,2021-06-10T14:05:12Z
v0.11.1,2021-05-19T16:37:12Z
v0.11.0,2021-05-10T13:20:54Z
v0.10.0,2021-03-24T00:36:35Z
v0.9.2,2021-03-12T03:09:57Z
v0.9.1,2021-03-04T03:12:41Z
v0.9.0,2021-02-22T18:21:02Z
v0.9.0b1,2021-02-01T16:39:42Z
v0.8.1,2020-11-23T04:59:17Z
v0.8.0,2020-11-18T23:02:09Z
v0.8.0b1,2020-10-21T15:17:15Z
v0.7.0,2020-03-09T14:20:12Z
v0.7.0b1,2020-02-18T17:57:05Z
v0.6.1,2020-01-13T21:02:12Z
v0.6,2019-12-07T07:37:28Z
v0.5,2019-11-22T02:55:19Z
v0.4,2019-06-04T01:34:29Z
v0.3,2019-05-03T15:27:37Z
v0.2,2019-04-11T01:24:35Z
v0.1,2019-03-06T22:38:26Z
