Release,Published_at
4.4.1.1,2024-08-03T22:15:19Z
4.4.0,2024-07-26T10:29:54Z
4.4.0-beta0,2024-07-24T17:03:33Z
4.3.3,2023-11-25T16:57:07Z
4.3.2,2023-10-24T14:27:02Z
4.3.1,2023-10-14T14:13:24Z
4.3.0,2023-08-31T13:16:31Z
4.2.2,2023-07-08T10:47:27Z
4.2.1,2023-07-06T10:15:53Z
4.2.0,2023-06-29T08:26:19Z
4.2.0-beta,2023-05-25T08:50:25Z
4.1.1.1,2023-04-30T10:26:03Z
4.1.1,2023-04-29T11:01:45Z
4.1.0,2023-03-27T17:27:25Z
4.1.0-beta2,2023-03-25T11:51:13Z
4.1.0-beta,2023-03-24T14:08:42Z
4.0.4,2023-03-19T18:50:39Z
4.0.3,2023-03-17T21:29:20Z
4.0.2,2023-03-17T21:10:47Z
4.0.1,2023-02-06T12:39:43Z
4.0.1-beta1,2023-01-19T09:36:54Z
4.0.0,2023-01-14T11:23:06Z
4.0.0-beta1,2023-01-05T20:53:10Z
3.9.7-beta1,2022-11-24T18:38:31Z
3.9.6,2022-11-22T14:00:51Z
3.9.5,2022-11-21T18:53:10Z
3.9.4,2022-11-19T12:46:05Z
3.9.4-beta3,2022-11-15T14:35:49Z
3.9.4-beta2,2022-11-14T18:57:00Z
3.9.3-r2,2022-11-10T18:39:16Z
3.9.3,2022-10-23T18:42:18Z
3.9.2,2022-10-23T11:31:55Z
3.9.1,2022-10-09T11:53:00Z
3.9.0,2022-10-09T10:33:06Z
3.8.2,2022-09-17T17:41:43Z
3.8.1,2022-09-10T08:08:18Z
3.8.0,2022-09-09T13:16:11Z
3.7.3,2022-09-02T09:12:37Z
3.7.2,2022-08-31T14:27:58Z
3.7.1,2022-08-03T09:47:22Z
3.7.0,2022-08-01T17:31:23Z
3.6.4,2022-07-12T13:33:39Z
3.6.3,2022-07-09T13:52:37Z
3.6.2,2022-07-06T13:12:49Z
3.6.1,2022-07-02T15:12:43Z
3.6.0,2022-06-13T10:51:40Z
3.5.0,2022-05-01T17:41:15Z
3.4.1,2022-04-18T17:14:22Z
3.4.0,2022-04-03T10:49:43Z
3.3.2,2022-03-19T22:12:50Z
3.3.1,2022-03-07T17:19:21Z
3.3.0,2022-03-01T15:26:03Z
3.2.3,2022-02-16T15:40:38Z
3.2.2,2022-02-15T18:28:06Z
3.2.1,2022-02-14T19:41:01Z
3.2.0,2022-01-31T17:48:06Z
3.1.1,2022-01-18T15:14:46Z
3.1.0,2022-01-16T12:18:38Z
3.0.0,2022-01-04T21:27:37Z
2.9.2,2021-12-27T10:51:28Z
2.9.1,2021-12-18T16:40:17Z
2.9-rc2,2021-12-11T12:24:20Z
2.8,2021-11-27T19:31:57Z
2.7,2021-11-14T18:32:56Z
2.6.1,2021-11-08T19:24:02Z
2.6,2021-11-07T11:46:02Z
2.5,2021-10-30T20:23:51Z
2.4,2021-10-24T16:17:01Z
2.3,2021-10-23T11:43:14Z
2.2,2021-10-17T13:53:35Z
2.1.1,2021-10-14T18:21:44Z
2.1,2021-10-14T17:29:17Z
2.0,2021-10-12T13:55:13Z
1.9,2021-10-10T11:03:55Z
1.8,2021-10-08T18:15:23Z
1.7,2021-10-07T16:23:18Z
1.6,2021-10-06T14:42:49Z
1.5,2021-10-05T17:16:07Z
1.4,2021-10-05T14:07:30Z
1.3,2021-10-05T13:47:54Z
1.2,2021-10-04T16:00:01Z
1.1,2021-09-23T16:56:16Z
1.0,2021-09-19T16:09:16Z
