Release,Published_at
v2.2.0,2024-07-31T11:47:02Z
v2.1.1,2024-06-28T06:49:24Z
v2.1.0,2024-03-08T08:32:35Z
v2.0.0,2023-12-31T15:27:11Z
v1.11.4,2023-11-17T15:24:31Z
v2.0.0-beta,2023-09-19T07:54:04Z
v1.11.3,2023-09-12T07:58:53Z
v1.11.2,2023-06-02T10:06:56Z
v1.11.1,2023-04-21T07:09:32Z
v1.11.0,2023-04-13T08:53:13Z
v2.0.0-alpha,2023-02-03T03:51:44Z
v1.10.0,2022-12-29T10:38:05Z
v1.8.1,2022-12-09T12:04:25Z
v1.7.3,2022-12-09T12:03:05Z
v1.9.2,2022-12-08T09:44:29Z
v1.9.1,2022-11-23T10:26:07Z
v1.9.0,2022-08-31T08:40:42Z
v1.8.0,2022-04-18T14:23:38Z
v1.5.3,2022-03-14T09:01:05Z
v1.7.2,2022-03-01T10:02:26Z
v1.7.1.1,2022-01-27T10:09:10Z
v1.7.1,2022-01-12T14:07:16Z
v1.7.0,2021-11-24T09:37:50Z
v1.6.1,2021-09-14T09:45:57Z
v1.5.2,2021-07-29T11:56:10Z
v1.6.0,2021-03-31T14:56:10Z
v1.5.1,2021-02-10T09:13:39Z
v1.5.0,2020-11-13T13:36:14Z
v1.4.6,2020-10-22T02:38:27Z
v1.5.0-preview,2020-10-19T13:53:05Z
v1.4.5,2020-09-27T07:27:32Z
v1.4.4,2020-09-04T12:41:44Z
v1.4.3,2020-08-12T03:37:31Z
v1.4.2,2020-07-27T06:38:55Z
v1.4.1,2020-06-23T03:00:01Z
v1.4.0,2020-05-15T02:32:25Z
v1.3.1,2020-04-18T16:18:26Z
v1.2.2,2020-03-23T09:17:07Z
v1.3.0,2020-03-06T10:02:19Z
v1.2.1,2020-03-19T11:05:33Z
v1.2.0,2019-12-31T15:25:30Z
v1.1.1,2019-12-03T10:53:55Z
v1.1,2019-10-31T12:44:50Z
v1.0.1.final,2019-09-03T08:11:13Z
v1.0.2,2019-09-25T07:05:24Z
v1.0,2019-08-18T07:26:24Z
v0.3.2,2019-08-15T11:44:13Z
v0.3.1,2019-07-16T08:31:29Z
v0.3,2019-06-18T14:37:28Z
v0.2,2019-05-18T07:07:09Z
v0.1,2019-02-18T14:50:16Z
