Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
FATE,v0.3.2,2019-08-15,0,1,1,0,0,0,1,1,1,1
FATE,v1.0,2019-08-18,0,1,0,0,0,0,1,1,1,1
FATE,v1.0.1.final,2019-09-03,0,1,1,0,0,0,1,1,1,1
FATE,v1.1,2019-10-31,0,1,1,0,0,0,1,1,1,1
FATE,v1.1.1,2019-12-03,0,1,1,0,0,0,1,1,0,1
FATE,v1.2.0,2019-12-31,0,0,1,0,0,0,0,0,1,1
FATE,v1.3.0,2020-03-06,0,1,1,0,0,0,1,1,1,1
FATE,v1.2.2,2020-03-23,0,1,1,0,0,0,1,1,0,1
FATE,v1.3.1,2020-04-18,0,1,0,0,0,0,1,1,1,1
FATE,v1.4.0,2020-05-15,0,1,1,0,0,0,1,1,1,1
FATE,v1.4.1,2020-06-23,0,1,1,0,0,0,1,1,0,1
FATE,v1.4.2,2020-07-27,0,1,1,0,0,0,1,1,0,1
FATE,v1.4.3,2020-08-12,0,1,1,0,0,0,1,1,0,1
FATE,v1.4.4,2020-09-04,0,1,1,0,0,0,1,1,0,1
FATE,v1.4.5,2020-09-27,0,1,1,0,0,0,1,1,0,1
FATE,v1.5.0-preview,2020-10-19,0,1,1,0,0,0,1,1,0,1
FATE,v1.4.6,2020-10-22,0,1,1,0,0,0,1,1,1,1
FATE,v1.5.0,2020-11-13,0,1,0,0,0,0,1,1,1,1
FATE,v1.5.1,2021-02-10,0,1,1,0,0,0,1,1,1,1
FATE,v1.6.0,2021-03-31,0,0,1,0,0,0,0,1,1,1
FATE,v1.5.2,2021-07-29,0,1,0,0,0,0,1,1,1,1
FATE,v1.6.1,2021-09-14,0,1,1,0,0,0,1,1,1,1
FATE,v1.7.0,2021-11-24,0,1,1,0,0,0,1,1,1,1
FATE,v1.7.1,2022-01-12,0,1,1,0,0,0,1,1,1,1
FATE,v1.7.1.1,2022-01-27,0,1,1,0,0,0,1,1,1,1
FATE,v1.7.2,2022-03-01,0,1,1,0,0,0,1,1,0,1
FATE,v1.5.3,2022-03-14,0,1,1,0,0,0,1,1,0,1
FATE,v1.8.0,2022-04-18,0,0,1,1,0,0,0,0,1,1
FATE,v1.9.0,2022-08-31,0,1,1,0,0,0,0,0,1,1
FATE,v1.9.1,2022-11-23,0,1,1,0,0,0,1,1,0,1
FATE,v1.9.2,2022-12-08,0,1,1,0,0,0,1,1,0,1
FATE,v1.7.3,2022-12-09,0,1,1,0,0,0,1,1,1,1
FATE,v1.8.1,2022-12-09,0,1,1,0,0,0,1,1,1,1
FATE,v1.10.0,2022-12-29,0,1,1,0,0,0,1,1,1,1
FATE,v2.0.0-alpha,2023-02-03,1,1,1,1,0,0,0,1,1,1
FATE,v1.11.0,2023-04-13,0,1,1,0,0,0,1,1,0,1
FATE,v1.11.1,2023-04-21,1,1,1,1,0,0,1,1,1,1
FATE,v1.11.2,2023-06-02,0,1,1,0,0,0,1,1,1,1
FATE,v1.11.3,2023-09-12,0,1,1,0,0,0,1,1,0,1
FATE,v2.0.0-beta,2023-09-19,0,1,1,0,0,0,1,1,0,1
FATE,v1.11.4,2023-11-17,0,1,1,0,0,0,1,1,0,1
FATE,v2.0.0,2023-12-31,0,0,1,0,0,0,0,1,1,1
FATE,v2.1.0,2024-03-08,0,1,1,0,0,0,1,1,0,1
FATE,v2.1.1,2024-06-28,0,1,1,0,0,0,1,1,0,1
