Release,Published_at
v2.1.1,2025-01-13T01:19:55Z
v2.1.0,2024-12-29T00:53:22Z
v1.8.6,2024-12-29T00:33:32Z
v1.8.5,2024-11-16T07:30:21Z
v2.1.0-beta.62,2024-11-16T05:53:55Z
v1.8.4,2023-02-25T01:00:41Z
v1.8.3,2022-02-21T04:52:04Z
v2.1.0-beta.0,2021-12-29T03:25:17Z
v1.8.2,2021-06-18T19:22:47Z
v1.8.1,2021-03-19T21:10:02Z
v1.8.0,2021-02-11T18:02:13Z
v2.1.0-alpha.0,2021-01-01T06:40:00Z
v1.7.8,2020-06-15T15:34:54Z
v1.7.7,2020-03-05T20:22:26Z
v2.0.0-alpha.0,2020-01-10T03:29:26Z
v1.7.6,2020-01-01T00:19:54Z
v1.7.5,2019-10-17T02:20:24Z
v1.7.4,2019-06-28T17:24:46Z
v1.7.3,2019-04-20T05:46:57Z
v1.7.2,2019-02-22T00:54:59Z
v1.7.1,2018-12-23T04:27:07Z
v1.7.0,2018-11-11T04:29:41Z
v1.6.8,2018-08-25T22:38:48Z
v1.6.7,2018-08-13T17:14:38Z
v1.6.6,2018-07-02T09:45:33Z
v1.6.5,2018-06-25T06:56:30Z
v1.6.4,2018-05-21T02:19:27Z
v1.6.3,2018-04-14T19:03:19Z
v1.6.2,2018-04-01T19:55:54Z
v1.6.1,2018-03-23T16:19:18Z
v1.6.0,2018-03-15T23:40:00Z
v1.5.4,2018-02-16T18:06:21Z
v1.5.3,2017-12-31T04:09:54Z
v1.5.2,2017-11-17T05:16:57Z
v1.5.1,2017-11-16T03:35:24Z
v1.5.0,2017-11-02T21:57:34Z
v1.4.0,2017-11-02T07:05:16Z
v1.3.5,2017-10-22T05:55:34Z
v1.3.4,2017-05-22T02:29:34Z
v1.3.3,2017-05-07T01:56:06Z
v1.3.2,2016-12-31T17:17:45Z
v1.3.1,2016-10-07T03:38:26Z
v1.3.0,2016-09-24T15:30:01Z
v1.2.11,2016-08-18T14:49:46Z
v1.2.10,2016-06-21T11:22:00Z
v1.2.9,2016-03-17T23:24:27Z
v1.2.8,2015-12-31T04:11:32Z
v1.2.7,2015-11-11T12:08:22Z
v1.2.6,2015-10-17T03:01:29Z
v1.2.5,2015-09-09T09:13:21Z
v1.2.4,2015-07-12T08:52:49Z
v1.2.3,2015-05-26T08:51:28Z
v1.2.2,2015-05-11T06:11:09Z
v1.2.1,2015-05-08T03:53:00Z
v1.2.0,2015-05-07T13:42:27Z
v1.1.5,2015-05-02T15:32:29Z
v1.1.4,2015-04-28T11:20:47Z
v1.1.3,2015-04-15T08:49:55Z
v1.1.2,2015-04-02T13:47:12Z
v1.1.1,2015-03-31T11:46:38Z
v1.1.0,2015-03-27T07:34:46Z
v1.0.0,2015-02-12T09:30:44Z
