Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
HanLP,v1.0.0,2015-02-12,0,1,1,0,0,0,1,1,0,1
HanLP,v1.1.0,2015-03-27,0,1,1,0,0,0,0,1,0,1
HanLP,v1.1.1,2015-03-31,0,1,1,0,0,0,0,1,0,1
HanLP,v1.1.2,2015-04-02,0,1,1,0,0,0,0,1,0,1
HanLP,v1.1.3,2015-04-15,0,1,1,0,0,0,1,1,0,1
HanLP,v1.1.4,2015-04-28,0,1,1,0,0,0,1,1,0,1
HanLP,v1.1.5,2015-05-02,0,1,1,0,0,0,0,1,0,1
HanLP,v1.2.0,2015-05-07,0,1,1,0,0,0,0,1,0,1
HanLP,v1.2.1,2015-05-08,0,1,1,0,0,0,0,1,0,1
HanLP,v1.2.2,2015-05-11,0,1,1,0,0,0,0,1,0,1
HanLP,v1.2.3,2015-05-26,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.4,2015-07-12,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.5,2015-09-09,0,1,1,0,0,0,0,1,0,1
HanLP,v1.2.6,2015-10-17,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.7,2015-11-11,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.8,2015-12-31,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.9,2016-03-17,0,1,1,1,0,0,1,1,0,1
HanLP,v1.2.10,2016-06-21,0,1,1,0,0,0,1,1,0,1
HanLP,v1.2.11,2016-08-18,0,1,1,0,0,0,0,1,0,1
HanLP,v1.3.0,2016-09-24,0,1,1,0,0,0,0,1,0,1
HanLP,v1.3.1,2016-10-07,0,1,1,0,0,0,1,1,0,1
HanLP,v1.3.2,2016-12-31,0,1,1,0,0,0,1,1,0,1
HanLP,v1.3.3,2017-05-07,0,1,1,0,0,0,0,1,0,1
HanLP,v1.3.4,2017-05-22,1,1,1,1,0,0,1,1,0,1
HanLP,v1.3.5,2017-10-22,0,1,1,0,0,0,0,1,0,1
HanLP,v1.4.0,2017-11-02,0,1,1,0,0,0,0,1,0,1
HanLP,v1.5.0,2017-11-02,0,1,1,0,0,0,0,1,0,1
HanLP,v1.5.1,2017-11-16,0,1,1,0,0,0,0,1,0,1
HanLP,v1.5.2,2017-11-17,0,1,1,0,0,0,0,1,0,1
HanLP,v1.5.3,2017-12-31,0,1,1,0,0,0,0,1,0,1
HanLP,v1.5.4,2018-02-16,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.0,2018-03-15,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.1,2018-03-23,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.2,2018-04-01,0,1,1,0,0,0,1,1,0,1
HanLP,v1.6.3,2018-04-14,0,1,1,0,0,0,1,1,0,1
HanLP,v1.6.4,2018-05-21,0,1,1,0,0,0,1,1,0,1
HanLP,v1.6.5,2018-06-25,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.6,2018-07-02,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.7,2018-08-13,0,1,1,0,0,0,0,1,0,1
HanLP,v1.6.8,2018-08-25,0,1,1,0,0,0,1,1,0,1
HanLP,v1.7.0,2018-11-11,0,1,1,0,0,0,1,1,0,1
HanLP,v1.7.1,2018-12-23,0,1,1,0,0,0,0,1,0,1
HanLP,v1.7.2,2019-02-22,0,1,1,0,0,0,1,1,0,1
HanLP,v1.7.3,2019-04-20,0,1,1,0,0,0,1,1,0,1
HanLP,v1.7.4,2019-06-28,0,1,1,0,0,0,1,1,0,1
HanLP,v1.7.5,2019-10-17,0,1,1,1,0,0,1,1,0,1
HanLP,v1.7.6,2020-01-01,0,1,1,0,0,0,1,1,0,1
HanLP,v2.0.0-alpha.0,2020-01-10,0,1,1,0,0,0,0,1,0,1
HanLP,v1.7.7,2020-03-05,0,1,1,0,0,0,0,1,0,1
HanLP,v1.7.8,2020-06-15,0,1,1,1,0,0,1,1,0,1
HanLP,v2.1.0-alpha.0,2021-01-01,0,1,1,0,0,0,0,1,0,1
HanLP,v1.8.0,2021-02-11,0,1,1,0,0,0,0,1,0,1
HanLP,v1.8.1,2021-03-19,0,1,1,0,0,0,1,1,0,1
HanLP,v1.8.2,2021-06-18,0,1,1,0,0,0,1,1,0,1
HanLP,v2.1.0-beta.0,2021-12-29,0,1,1,0,0,0,0,1,0,1
HanLP,v1.8.3,2022-02-21,0,1,1,1,0,0,1,1,0,1
HanLP,v1.8.4,2023-02-25,0,1,1,0,0,0,1,1,0,1
HanLP,v2.1.0-beta.62,2024-11-16,0,1,1,0,0,0,0,1,0,1
HanLP,v1.8.5,2024-11-16,0,1,1,0,0,0,0,1,0,1
