Release,Published_at
v1.4.0,2025-02-07T15:48:44Z
v1.3.14,2024-10-22T19:04:58Z
v1.3.13,2024-10-22T13:23:32Z
v1.3.12,2024-09-18T12:31:44Z
v1.3.11,2024-08-01T18:51:13Z
v1.3.10,2024-07-15T15:06:58Z
v1.3.9,2024-07-05T14:53:11Z
v1.3.8,2024-05-13T13:33:16Z
v1.3.7,2024-04-11T18:01:08Z
v1.3.6,2024-04-10T17:39:57Z
v1.3.5,2024-02-23T14:51:57Z
v1.3.4,2024-02-19T13:30:28Z
v1.3.3,2024-02-16T17:56:32Z
v1.3.2,2024-01-30T19:54:40Z
v1.3.1,2023-12-06T19:08:04Z
v1.3.0,2023-11-02T17:43:52Z
v1.2.10,2023-08-30T18:25:02Z
v1.2.9,2023-08-25T12:18:16Z
v1.2.8,2023-07-12T21:30:55Z
v1.2.7,2023-05-02T14:36:18Z
v1.2.6,2023-04-27T17:19:35Z
v1.2.5,2023-04-04T14:43:30Z
v1.2.4,2023-02-10T17:26:05Z
v1.2.3,2022-09-20T14:56:08Z
v1.2.2,2022-09-16T14:33:25Z
v1.2.1,2022-06-23T18:13:50Z
v1.2.0,2022-03-03T15:09:52Z
v1.1.0,2021-01-27T13:26:23Z
v1.0.7,2021-01-08T20:47:27Z
v1.0.6,2020-07-21T19:03:48Z
v1.0.5,2020-07-01T15:51:43Z
v1.0.4,2020-05-18T19:35:24Z
v1.0.2,2019-12-02T17:58:01Z
v1.0.1.dev0,2019-10-18T20:40:54Z
v0.1.3,2016-07-14T19:19:03Z
v0.1.2,2016-06-03T17:49:40Z
v0.1.1,2016-06-02T22:19:13Z
