Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
HistomicsTK,v0.1.1,2016-06-02,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v0.1.2,2016-06-03,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v0.1.3,2016-07-14,0,0,1,1,0,1,0,0,1,1
HistomicsTK,v1.0.1.dev0,2019-10-18,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.0.2,2019-12-02,1,0,1,1,0,0,1,1,1,1
HistomicsTK,v1.0.4,2020-05-18,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.0.6,2020-07-21,0,1,1,1,0,0,1,1,0,1
HistomicsTK,v1.0.7,2021-01-08,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.1.0,2021-01-27,0,1,1,1,0,0,1,1,0,1
HistomicsTK,v1.2.0,2022-03-03,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.2.1,2022-06-23,1,1,1,0,0,1,0,1,0,1
HistomicsTK,v1.2.3,2022-09-20,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.2.4,2023-02-10,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.2.5,2023-04-04,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.2.6,2023-04-27,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.2.7,2023-05-02,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.2.8,2023-07-12,0,1,1,1,0,0,1,1,0,1
HistomicsTK,v1.2.9,2023-08-25,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.2.10,2023-08-30,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.0,2023-11-02,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.1,2023-12-06,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.2,2024-01-30,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.3,2024-02-16,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.3.4,2024-02-19,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.3.5,2024-02-23,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.7,2024-04-11,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.3.8,2024-05-13,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.9,2024-07-05,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.10,2024-07-15,0,1,1,0,0,0,0,1,0,1
HistomicsTK,v1.3.11,2024-08-01,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.12,2024-09-18,0,1,1,0,0,0,1,1,0,1
HistomicsTK,v1.3.13,2024-10-22,1,1,1,1,0,1,1,1,0,1
HistomicsTK,v1.3.14,2024-10-22,1,1,1,1,0,1,1,1,0,1
