Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
ImageAI,1.0.2,2018-04-11,0,1,1,0,0,0,0,1,0,1
ImageAI,1.0,2018-05-24,0,1,1,0,0,0,1,1,0,1
ImageAI,1.0.1,2018-05-24,0,1,1,0,0,0,1,1,0,1
ImageAI,2.0.1,2018-05-24,0,1,1,0,0,0,1,1,0,1
ImageAI,2.0.2,2018-07-15,0,1,1,1,0,0,1,1,0,1
ImageAI,models-v3,2019-06-13,0,1,1,0,0,0,0,1,0,1
ImageAI,2.0.3,2019-06-13,0,1,1,0,0,0,0,1,0,1
ImageAI,essential-v4,2019-07-30,1,0,1,1,0,0,0,1,0,1
ImageAI,2.1.0,2019-07-30,1,0,1,1,0,0,0,1,0,1
ImageAI,essentials-v5,2021-01-04,1,1,1,0,0,1,0,1,0,1
ImageAI,3.0.0-pretrained,2022-11-10,0,1,1,0,0,0,1,1,0,1
