Release,Published_at
v4.6.0,2025-02-15T03:46:41Z
v4.5.0,2024-07-25T22:10:25Z
v4.4.0,2024-06-15T04:08:32Z
v4.3.0,2024-01-26T02:11:11Z
v4.2.0,2023-12-21T18:58:56Z
v4.1.0,2023-09-12T01:51:05Z
v4.0.0,2023-07-13T18:43:08Z
v3.3.5,2023-01-24T03:15:36Z
v3.3.4,2023-01-04T22:08:12Z
v3.3.3,2022-10-10T18:03:31Z
v3.3.2,2022-01-07T14:53:52Z
v3.3.1,2021-10-27T22:59:08Z
v3.3.0,2021-10-09T02:07:45Z
v3.2.1,2021-04-12T23:03:24Z
v3.2.0,2021-03-22T13:43:57Z
v3.1.1,2020-12-08T02:58:17Z
v3.1.0,2020-11-16T04:25:19Z
v3.0.0,2020-09-01T03:26:21Z
v3.0.0rc1,2020-08-07T01:25:31Z
v2.3.1,2019-11-28T13:21:02Z
v2.3.0,2019-09-29T04:44:16Z
v2.2.3,2019-02-05T01:34:30Z
v2.2.2,2018-11-06T04:25:47Z
v2.2.1,2018-10-03T17:20:31Z
v2.2.0,2018-09-18T03:05:31Z
v2.1.2,2018-06-22T05:31:18Z
v2.1.1,2018-06-22T11:44:50Z
v2.1.0,2018-06-22T11:54:42Z
v2.0.12,2017-12-26T09:11:26Z
v2.0.10,2017-10-18T15:28:57Z
v2.0.6,2017-08-18T06:28:55Z
v2.0.3,2017-06-25T02:38:28Z
v2.0,2017-05-03T12:41:32Z
v1,2017-04-24T06:44:55Z
