Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
MMdnn,0.1.1,2017-11-29,0,1,1,0,0,0,1,1,0,1
MMdnn,0.1.2,2017-12-18,0,0,1,0,0,0,0,0,0,1
MMdnn,0.1.3,2018-02-26,0,1,1,0,0,0,1,1,0,1
MMdnn,0.1.4,2018-03-22,0,1,1,0,0,0,1,1,1,1
MMdnn,0.2.0,2018-05-16,0,1,1,0,0,0,1,1,0,1
MMdnn,0.2.1,2018-05-24,0,0,1,0,1,1,0,1,0,1
MMdnn,0.2.2,2019-03-03,0,1,1,0,0,0,1,1,0,1
MMdnn,0.2.3,2019-03-03,0,1,1,0,0,0,1,1,0,1
MMdnn,0.2.4,2019-03-03,0,1,1,0,0,0,1,1,0,1
MMdnn,0.2.5,2019-04-15,1,1,1,1,0,0,1,1,0,1
MMdnn,0.3.0,2020-05-03,1,1,1,1,0,1,1,1,0,1
