Release,Published_at
v4.10.3,2025-03-19T08:31:36Z
v4.10.2,2025-02-12T09:28:43Z
v4.10.1,2025-01-14T03:16:40Z
v4.10.0,2025-01-13T06:58:48Z
v4.9.3,2025-01-02T08:25:01Z
v4.9.2,2024-12-20T09:41:04Z
v4.8.2,2024-12-05T12:08:16Z
v4.8.0,2024-11-29T09:44:17Z
v4.7.8,2024-10-31T11:28:05Z
v4.7.7,2024-10-24T10:00:45Z
v4.6.0,2024-09-26T11:32:52Z
v4.5.1,2024-09-05T11:00:33Z
v4.4.22,2024-08-16T05:31:14Z
v4.4.19,2024-07-28T13:45:00Z
v4.4.15,2024-07-26T18:01:41Z
v4.4.12,2024-07-18T06:20:35Z
v4.4.10,2024-07-10T14:12:48Z
v4.3.2,2024-06-19T11:16:17Z
v4.2.1,2024-06-04T11:18:40Z
v4.2.0,2024-05-31T13:32:56Z
v4.1.2,2024-05-14T03:09:33Z
v4.0.11,2024-04-29T06:36:23Z
v4.0.10,2024-04-22T12:36:16Z
