Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
MaixPy,v4.0.10,2024-04-22,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.0.11,2024-04-29,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.1.2,2024-05-14,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.2.0,2024-05-31,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.2.1,2024-06-04,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.3.2,2024-06-19,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.4.10,2024-07-10,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.4.12,2024-07-18,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.4.15,2024-07-26,0,1,1,0,0,0,0,1,0,1
MaixPy,v4.4.19,2024-07-28,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.4.22,2024-08-16,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.5.1,2024-09-05,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.6.0,2024-09-26,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.7.7,2024-10-24,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.7.8,2024-10-31,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.8.0,2024-11-29,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.8.2,2024-12-05,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.9.2,2024-12-20,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.9.3,2025-01-02,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.10.0,2025-01-13,0,1,1,0,0,0,0,1,0,1
MaixPy,v4.10.1,2025-01-14,0,1,1,0,0,0,1,1,0,1
MaixPy,v4.10.2,2025-02-12,0,1,1,0,0,0,1,1,0,1
