Release,published_at
Release - 2.0.8,2025-01-28T16:28:48Z
Release - 2.0.7,2024-10-27T12:40:56Z
Release - 2.0.6,2024-10-08T22:24:49Z
Release - 2.0.5,2024-08-27T21:10:43Z
Release - 2.0.4,2024-08-26T14:18:35Z
Release - 2.0.3,2024-08-05T09:54:42Z
Release - 2.0.2,2024-07-17T12:09:46Z
Release - 2.0.1,2024-07-10T09:36:48Z
Release - 2.0.0,2024-07-05T22:57:43Z
Release - 1.0.10,2024-04-19T11:21:23Z
Release - 1.0.9,2024-04-18T09:01:49Z
Release - 1.0.8,2024-02-16T11:49:14Z
Release - 1.0.7,2024-01-18T22:24:40Z
Release - 1.0.6,2024-01-10T23:19:04Z
Release - 1.0.5,2023-12-20T12:19:20Z
Release - 1.0.4,2023-12-12T11:39:40Z
Release - 1.0.3,2023-10-31T14:09:58Z
Release - 1.0.2,2023-10-30T17:05:47Z
Release - 1.0.1,2023-09-28T21:50:32Z
Release - 1.0.0,2023-09-26T13:54:38Z
Release - 0.4.54,2023-09-02T11:09:14Z
Release - 0.4.53,2023-08-22T22:33:21Z
Release - 0.4.52,2023-07-09T14:51:59Z
Release - 0.4.51,2023-06-09T14:50:25Z
Release - 0.4.50,2023-05-13T12:11:43Z
Release - 0.4.49,2023-04-24T07:54:11Z
Release - 0.4.48,2023-04-19T14:27:53Z
Release - 0.4.47,2023-04-02T22:13:25Z
Release - 0.4.46,2023-03-24T22:54:25Z
Release - 0.4.45,2023-03-24T10:34:02Z
Release - 0.4.44,2023-03-20T11:00:26Z
Release - 0.4.43,2023-03-19T17:58:50Z
Release - 0.4.41,2023-03-05T23:03:25Z
Release - 0.4.40,2023-02-17T16:46:42Z
Release - 0.4.38,2023-02-13T21:58:40Z
Release - 0.4.37,2023-02-08T11:09:31Z
Release - 0.4.36,2023-01-30T21:46:17Z
Release - 0.4.35,2023-01-20T21:51:47Z
Release - 0.4.34,2023-01-15T10:21:49Z
Release - 0.4.33,2023-01-05T22:46:54Z
Release - 0.4.30,2022-12-27T23:36:41Z
Release - 0.4.27,2022-12-16T15:45:08Z
Release - 0.4.26,2022-12-12T20:03:27Z
Release - 0.4.23,2022-11-24T22:57:54Z
Release - 0.4.20,2022-11-14T10:15:34Z
Release - 0.4.19,2022-11-02T09:08:20Z
Release - 0.4.15,2022-10-24T18:20:52Z
Release - 0.4.13,2022-10-17T19:03:18Z
Release - 0.4.10,2022-09-13T17:35:07Z
