Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
OctoBot,0.0.4-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.7-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.8-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.9-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.10-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.11-alpha,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.0.12-alpha,2018-05-26,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.0-beta,2018-06-01,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.0_1-beta,2018-06-02,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.0_2-beta,2018-06-03,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.2-beta,2018-06-18,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.2_1-beta,2018-06-18,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.2_2-beta,2018-06-19,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.2_3-beta,2018-06-20,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.2_4-beta,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.3-beta,2018-06-22,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.3_1-beta,2018-06-25,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.3_2-beta,2018-06-27,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.4-beta,2018-07-01,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.4_1-beta,2018-07-01,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.4_2-beta,2018-07-02,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.4_3-beta,2018-07-03,0,1,1,0,0,0,1,1,1,1
OctoBot,0.1.5-beta,2018-07-16,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.5_1-beta,2018-07-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.5_2-beta,2018-07-24,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.5_3-beta,2018-07-26,0,1,1,0,0,0,1,1,0,1
OctoBot,0.1.6-beta,2018-07-30,0,1,1,0,0,0,1,1,1,1
OctoBot,0.1.7-beta,2018-08-14,0,1,1,0,0,0,1,1,1,1
OctoBot,0.2.0-beta,2018-09-05,0,1,1,0,0,0,1,1,0,1
OctoBot,0.2.1-beta,2018-09-25,0,1,1,0,0,0,1,1,0,1
OctoBot,0.2.2-beta,2018-10-04,0,1,1,0,0,0,1,1,0,1
OctoBot,0.2.3-beta,2018-11-17,0,1,1,0,0,0,1,1,0,1
OctoBot,0.2.4-beta,2019-01-07,0,1,1,0,0,0,1,1,1,1
OctoBot,0.3.0-beta,2019-01-29,0,1,1,0,0,0,1,1,1,1
