Release,Published_at
v3.5.1,2024-03-18T14:01:33Z
v3.5.0,2024-02-22T17:42:09Z
v3.4.3,2023-11-02T12:53:15Z
v3.4.2,2023-10-20T13:37:47Z
v3.4.1,2023-09-26T09:02:30Z
v3.4.0,2023-09-06T12:56:34Z
v3.3.0,2023-06-22T11:33:50Z
v3.2.0,2023-06-07T20:15:01Z
v3.1.3,2023-05-24T10:40:44Z
v3.1.2,2023-05-10T17:38:08Z
v3.1.1,2023-03-30T16:47:54Z
v3.1.0,2023-03-30T16:30:37Z
v3.0.4,2023-02-06T17:47:18Z
v3.0.3,2022-12-19T11:42:54Z
v3.0.2,2022-12-07T16:04:07Z
v3.0.1,2022-11-23T10:33:36Z
v3.0.0,2022-11-03T18:18:36Z
2.3.0,2022-09-14T16:50:33Z
2.2.0,2021-09-14T08:48:31Z
2.1.2,2021-04-30T16:40:40Z
2.1.1,2021-04-30T10:49:27Z
2.1.0,2021-04-16T12:58:59Z
2.0.1,2021-01-27T09:21:27Z
2.0.0,2021-01-20T13:35:01Z
2.0.0rc2,2020-11-10T18:09:08Z
2.0.0rc1,2020-09-25T17:15:08Z
1.2.0,2020-08-17T15:26:39Z
1.1.1,2020-03-20T08:59:02Z
1.1.0,2020-03-19T14:45:52Z
1.0.2,2020-03-05T14:53:37Z
1.0.1,2020-02-17T15:51:20Z
1.0.0,2019-12-13T17:38:19Z
1.0.0.rc1,2019-10-01T15:55:20Z
0.9.2,2019-09-05T17:02:42Z
0.9.1,2019-06-13T09:20:21Z
0.9.0,2019-05-16T15:17:06Z
0.8.2,2019-02-17T16:30:04Z
0.8.1,2019-02-12T08:37:39Z
0.8.0,2019-02-09T17:49:45Z
0.7.2,2019-01-31T08:54:56Z
0.7.1,2019-01-24T21:23:39Z
0.7.0,2019-01-02T17:48:55Z
0.6.0,2018-11-28T10:55:26Z
0.5.0,2018-10-24T19:17:32Z
0.4.1,2018-10-11T08:57:13Z
0.4.0,2018-10-08T18:23:08Z
0.3.0,2018-09-27T16:18:41Z
0.2.1,2018-08-31T14:33:10Z
v0.2,2018-08-28T19:05:54Z
v0.1,2018-06-08T16:18:39Z
