Release,Published_at
v2025.0,2025-02-06T14:36:29Z
v2024.5,2024-11-20T14:08:49Z
v2024.4,2024-09-19T11:46:25Z
v2024.3,2024-07-31T14:15:40Z
v2024.2,2024-06-17T13:37:09Z
v2024.1,2024-04-25T12:23:46Z
v2024.0,2024-03-06T14:23:45Z
v2023.3,2024-01-24T13:55:03Z
v2023.2,2023-11-16T15:41:47Z
v2023.1,2023-09-18T13:17:07Z
v2023.0,2023-06-01T15:35:31Z
v2022.3.0.1,2023-02-27T14:44:51Z
v2022.3,2022-12-21T19:58:43Z
v2022.2,2022-09-22T14:06:28Z
v2022.1,2022-03-25T07:09:17Z
v2021.4.2,2021-11-18T12:21:38Z
v2021.4.1,2021-09-13T11:26:20Z
v2021.4,2021-06-30T14:36:29Z
v2021.3,2021-03-24T13:06:44Z
v2021.2.1,2021-01-21T14:30:17Z
v2021.2,2020-12-15T16:08:13Z
v2021.1,2020-10-06T12:42:03Z
v2020.4,2020-08-07T12:56:21Z
v2020.3,2020-08-06T22:06:18Z
v2020.1,2020-03-23T20:55:21Z
v2019.3,2019-10-31T14:23:48Z
v2019.2,2019-09-26T14:04:11Z
v2019.1.1,2019-07-17T20:16:44Z
v2019.1,2019-05-10T11:43:18Z
v0.5,2019-03-27T15:56:47Z
v0.4,2019-02-06T23:08:37Z
v0.3,2019-01-18T12:44:20Z
v0.2,2018-12-11T12:28:51Z
v0.1,2018-09-27T12:45:27Z
