Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
OpenVINO-model-server,v2020.1,2020-03-23,0,1,1,0,0,0,0,0,1,1
OpenVINO-model-server,v2020.3,2020-08-06,0,1,1,0,0,0,0,1,0,1
OpenVINO-model-server,v2020.4,2020-08-07,0,1,1,0,0,0,1,1,1,1
OpenVINO-model-server,v2021.1,2020-10-06,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.2,2020-12-15,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.2.1,2021-01-21,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.3,2021-03-24,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.4,2021-06-30,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.4.1,2021-09-13,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2021.4.2,2021-11-18,0,0,1,0,0,0,0,1,0,1
OpenVINO-model-server,v2022.1,2022-03-25,0,1,1,1,0,0,0,1,1,1
OpenVINO-model-server,v2022.2,2022-09-22,0,1,1,0,0,0,1,1,1,1
OpenVINO-model-server,v2022.3,2022-12-21,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2022.3.0.1,2023-02-27,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2023.0,2023-06-01,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2023.1,2023-09-18,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2023.2,2023-11-16,0,1,1,0,0,0,1,1,1,1
OpenVINO-model-server,v2023.3,2024-01-24,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2024.0,2024-03-06,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2024.1,2024-04-25,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2024.2,2024-06-17,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2024.3,2024-07-31,0,1,1,0,0,0,1,1,0,1
OpenVINO-model-server,v2024.4,2024-09-19,0,1,1,0,0,0,1,1,1,1
OpenVINO-model-server,v2024.5,2024-11-20,0,1,1,0,0,0,1,1,1,1
