Release,Published_at
v23.5.0-beta,2023-05-01T22:46:52Z
v22.10.0-beta,2022-10-17T20:32:01Z
v22.9.0-beta,2022-09-16T22:20:02Z
v22.6.0-beta3,2022-09-15T16:34:06Z
v22.6.0-beta,2022-06-19T16:52:42Z
v22.2.0-beta4,2022-03-17T22:05:19Z
v22.2.0-beta3,2022-03-03T21:37:04Z
v22.2.0-beta2,2022-02-23T12:48:52Z
v22.2.0-beta1,2022-02-07T14:04:06Z
v22.1.0-beta5,2022-01-11T21:26:44Z
v22.1.0-beta4,2022-01-10T21:28:38Z
v22.1.0-beta3,2022-01-10T13:48:48Z
v22.1.0-beta2,2022-01-06T15:51:17Z
v22.1.0-beta1,2022-01-06T13:30:02Z
v21.11.0-beta4,2021-11-17T14:22:44Z
v21.11.0-beta3,2021-11-10T21:08:32Z
v21.11.0-beta1,2021-11-05T20:17:35Z
v21.9.0-beta4,2021-10-04T16:07:47Z
v21.9.0-beta3,2021-09-16T23:06:29Z
v21.9.0-beta2,2021-09-16T15:04:30Z
v21.9.0-beta1,2021-09-01T15:23:56Z
v21.9.0-beta,2021-08-20T22:14:34Z
v21.8.0-beta4,2021-07-26T23:24:45Z
v21.8.0-beta3,2021-07-14T23:31:12Z
2.2.32,2020-07-19T03:05:40Z
2.2.31,2019-12-14T06:43:55Z
2.2.30,2019-11-28T01:46:06Z
2.2.29,2019-11-18T03:19:24Z
2.2.28,2019-11-15T00:34:08Z
2.2.27,2019-11-10T23:04:28Z
2.2.26,2019-11-05T16:07:24Z
2.2.25,2019-11-05T02:25:56Z
2.2.24,2019-11-02T18:17:54Z
2.2.23,2019-10-12T04:00:41Z
2.2.22,2019-10-11T06:57:10Z
2.2.21,2019-10-02T20:06:57Z
2.2.20,2019-09-28T05:30:32Z
2.2.19,2019-09-25T18:30:04Z
2.2.18,2019-09-25T17:02:59Z
2.2.17,2019-09-25T06:33:49Z
2.2.16,2019-09-19T17:40:11Z
2.2.15,2019-09-09T02:54:00Z
2.2.14,2019-08-29T06:32:44Z
2.2.12,2019-08-22T14:41:13Z
2.2.11,2019-08-22T05:39:24Z
2.2.10,2019-08-20T14:19:20Z
2.2.9,2019-07-28T21:44:41Z
2.2.8,2019-07-25T15:12:58Z
2.2.7,2019-06-17T15:32:36Z
2.2.6,2019-06-11T14:51:19Z
2.2.51,2019-05-30T02:15:22Z
2.2.5,2019-05-29T03:19:04Z
2.2.4,2019-05-28T02:28:34Z
2.2.3,2019-03-26T03:44:44Z
2.1.5,2019-02-04T05:05:48Z
2.1.4,2019-01-25T23:31:17Z
2.1.3,2018-10-29T00:47:24Z
2.1.1,2018-10-17T18:57:35Z
2.1.0,2018-09-13T06:40:48Z
2.0.6,2018-08-31T06:55:07Z
2.0.5,2018-08-22T17:21:33Z
1.2.6,2018-06-20T14:58:37Z
1.2.5,2018-02-27T17:40:58Z
1.2.4,2018-01-02T15:20:07Z
1.2.3,2017-12-21T22:46:58Z
1.2.2,2017-11-25T19:00:13Z
1.2.1,2017-11-13T16:23:33Z
1.1.0,2017-10-22T06:06:05Z
1.0.4,2017-09-25T14:50:30Z
1.0.1,2017-09-18T15:16:43Z
1.0.0,2017-09-11T22:54:51Z
0.8.3,2017-09-01T16:48:10Z
0.8.1,2017-08-31T16:03:53Z
0.7.7,2017-08-28T17:56:22Z
0.7.5,2017-08-23T14:21:50Z
0.6.1,2017-08-15T19:39:17Z
0.5.4,2017-08-11T03:59:32Z
0.4.0,2017-08-07T19:37:02Z
0.3.4,2017-07-31T12:52:13Z
0.3.2,2017-07-27T16:11:05Z
0.2.4,2017-07-24T21:57:25Z
0.2.2,2017-07-21T17:09:29Z
0.2.1,2017-07-20T17:31:29Z
0.1.6,2017-07-19T15:19:22Z
0.1.5.1,2017-07-18T21:09:32Z
0.1.4,2017-07-18T18:03:03Z
0.1.1,2017-07-18T16:40:35Z
