Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
Optimus,0.1.1,2017-07-18,0,1,1,0,0,0,1,1,0,1
Optimus,0.1.4,2017-07-18,0,1,1,0,0,0,1,1,0,1
Optimus,0.1.5.1,2017-07-18,0,1,1,0,0,0,1,1,0,1
Optimus,0.1.6,2017-07-19,0,1,1,0,0,0,0,1,0,1
Optimus,0.2.1,2017-07-20,0,1,1,0,0,0,1,1,0,1
Optimus,0.2.2,2017-07-21,0,1,1,0,0,0,1,1,0,1
Optimus,0.2.4,2017-07-24,0,1,1,0,0,0,1,1,0,1
Optimus,0.3.2,2017-07-27,0,1,1,0,0,0,0,1,0,1
Optimus,0.3.4,2017-07-31,0,1,1,0,0,0,1,1,0,1
Optimus,0.4.0,2017-08-07,0,1,1,0,0,0,1,1,0,1
Optimus,0.5.4,2017-08-11,0,1,1,0,0,0,1,1,0,1
Optimus,0.6.1,2017-08-15,0,1,1,0,0,0,1,1,0,1
Optimus,0.7.5,2017-08-23,0,1,1,0,0,0,1,1,0,1
Optimus,0.7.7,2017-08-28,0,1,1,0,0,0,1,1,0,1
Optimus,0.8.1,2017-08-31,0,1,1,0,0,0,0,1,0,1
Optimus,0.8.3,2017-09-01,0,1,1,0,0,0,1,1,0,1
Optimus,1.0.0,2017-09-11,0,1,1,0,0,0,1,1,0,1
Optimus,1.0.1,2017-09-18,0,1,1,0,0,0,1,1,0,1
Optimus,1.0.4,2017-09-25,0,1,1,0,0,0,1,1,0,1
Optimus,1.1.0,2017-10-22,0,1,1,0,0,0,1,1,0,1
Optimus,1.2.1,2017-11-13,0,1,1,0,0,0,1,1,1,1
Optimus,1.2.2,2017-11-25,0,1,1,0,0,0,1,1,0,1
Optimus,1.2.3,2017-12-21,0,1,1,0,0,0,1,1,0,1
Optimus,1.2.4,2018-01-02,0,1,1,0,0,0,1,1,0,1
Optimus,1.2.5,2018-02-27,0,1,1,0,0,0,1,1,0,1
Optimus,1.2.6,2018-06-20,0,1,1,0,0,0,1,1,1,1
Optimus,2.0.5,2018-08-22,0,1,1,0,0,0,1,1,1,1
Optimus,2.0.6,2018-08-31,0,1,1,0,0,0,1,1,1,1
Optimus,2.1.0,2018-09-13,0,1,1,0,0,0,1,1,1,1
Optimus,2.1.1,2018-10-17,0,1,1,0,0,0,1,1,0,1
Optimus,2.1.3,2018-10-29,0,1,1,0,0,0,1,1,0,1
Optimus,2.1.4,2019-01-25,0,1,1,0,0,0,0,1,0,1
Optimus,2.1.5,2019-02-04,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.3,2019-03-26,0,1,1,0,0,0,1,1,1,1
Optimus,2.2.4,2019-05-28,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.5,2019-05-29,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.51,2019-05-30,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.6,2019-06-11,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.7,2019-06-17,0,1,1,0,0,0,1,1,1,1
Optimus,2.2.8,2019-07-25,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.9,2019-07-28,0,1,1,0,0,0,1,1,1,1
Optimus,2.2.10,2019-08-20,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.11,2019-08-22,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.12,2019-08-22,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.14,2019-08-29,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.15,2019-09-09,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.16,2019-09-19,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.17,2019-09-25,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.18,2019-09-25,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.19,2019-09-25,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.20,2019-09-28,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.21,2019-10-02,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.22,2019-10-11,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.23,2019-10-12,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.24,2019-11-02,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.25,2019-11-05,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.26,2019-11-05,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.27,2019-11-10,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.28,2019-11-15,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.29,2019-11-18,0,1,1,0,0,0,0,1,0,1
Optimus,2.2.30,2019-11-28,0,1,1,0,0,0,1,1,0,1
Optimus,2.2.31,2019-12-14,0,1,1,0,0,0,1,1,1,1
Optimus,2.2.32,2020-07-19,0,1,1,1,0,0,1,1,1,1
Optimus,v21.8.0-beta3,2021-07-14,0,1,1,0,0,0,1,1,1,1
Optimus,v21.8.0-beta4,2021-07-26,0,1,1,0,0,0,1,1,1,1
Optimus,v21.9.0-beta,2021-08-20,0,1,1,0,0,0,1,1,0,1
Optimus,v21.9.0-beta1,2021-09-01,0,1,1,0,0,0,1,1,0,1
Optimus,v21.9.0-beta2,2021-09-16,0,1,1,0,0,0,1,1,1,1
Optimus,v21.9.0-beta3,2021-09-16,0,1,1,0,0,0,1,1,1,1
Optimus,v21.9.0-beta4,2021-10-04,0,1,1,0,0,0,1,1,0,1
Optimus,v21.11.0-beta1,2021-11-05,0,1,1,0,0,0,0,1,0,1
Optimus,v21.11.0-beta3,2021-11-10,0,1,1,0,0,0,1,1,0,1
Optimus,v21.11.0-beta4,2021-11-17,0,1,1,0,0,0,1,1,0,1
Optimus,v22.1.0-beta1,2022-01-06,0,1,1,0,0,0,0,1,0,1
Optimus,v22.1.0-beta2,2022-01-06,0,1,1,0,0,0,0,1,0,1
Optimus,v22.1.0-beta3,2022-01-10,0,1,1,0,0,0,0,1,0,1
Optimus,v22.1.0-beta4,2022-01-10,0,1,1,0,0,0,0,1,0,1
Optimus,v22.1.0-beta5,2022-01-11,0,1,1,0,0,0,1,1,0,1
Optimus,v22.2.0-beta1,2022-02-07,0,1,1,0,0,0,1,1,0,1
Optimus,v22.2.0-beta2,2022-02-23,0,1,1,0,0,0,1,1,0,1
Optimus,v22.2.0-beta3,2022-03-03,0,1,1,0,0,0,1,1,0,1
Optimus,v22.2.0-beta4,2022-03-17,0,1,1,0,0,0,1,1,1,1
Optimus,v22.6.0-beta,2022-06-19,0,1,1,0,0,0,1,1,0,1
Optimus,v22.6.0-beta3,2022-09-15,0,1,1,0,0,0,0,1,0,1
Optimus,v22.9.0-beta,2022-09-16,0,1,1,0,0,0,1,1,0,1
Optimus,v22.10.0-beta,2022-10-17,0,1,1,0,0,0,0,1,0,1
