Release,Published_at
0.9.5,2024-11-07T10:12:32Z
0.9.4,2024-06-26T11:22:44Z
0.9.3,2024-01-12T15:44:40Z
0.9.2,2023-12-22T12:20:38Z
0.9.1,2023-08-09T12:42:09Z
0.9.0,2023-04-07T08:32:56Z
0.8.2,2022-04-21T16:31:43Z
0.8.1.0,2021-12-31T12:46:47Z
0.8.1,2021-12-27T14:24:27Z
0.8.0,2021-11-05T17:07:28Z
0.7.0,2020-05-05T10:14:34Z
0.7.0-beta0,2020-04-23T09:41:53Z
0.6.0,2019-09-10T07:13:03Z
0.5.0,2018-10-03T06:46:59Z
0.4.0,2017-09-20T07:38:58Z
0.4,2017-09-15T12:56:33Z
0.3.1,2017-07-11T09:51:44Z
0.3,2017-07-07T07:16:22Z
V0.2,2017-04-07T13:37:02Z
V0.1.12,2017-01-05T12:52:48Z
V0.1.11,2016-11-07T16:12:46Z
V0.1.10,2016-11-07T15:54:54Z
V0.1.9.1,2016-11-04T12:51:09Z
V0.1.9,2016-11-04T12:23:25Z
V0.1.7,2016-10-31T15:23:47Z
V0.1.6,2016-10-31T08:58:03Z
V0.1.4,2016-10-28T16:10:41Z
V0.1.3,2016-10-28T16:03:44Z
V0.1,2016-10-28T14:21:53Z
