Release,Published_at
v1.11.0,2024-10-29T16:35:05Z
v1.10.2,2024-02-19T21:29:27Z
v1.10.1,2023-02-22T18:28:28Z
v1.10.0,2023-01-31T21:55:35Z
v1.9.0,2022-08-04T15:51:28Z
v1.8.2,2022-05-24T15:35:40Z
v1.8.1,2022-04-20T12:02:16Z
v1.8.0,2022-03-22T13:27:29Z
v1.7.0,2022-01-11T14:57:28Z
v1.6.0,2021-10-18T09:50:50Z
v1.5.0,2021-06-13T21:50:49Z
v1.4.0,2021-03-04T16:07:36Z
v1.3.0,2021-02-15T14:17:06Z
v1.1.0,2021-01-20T11:50:48Z
v1.0.5,2020-10-21T11:59:14Z
v1.0.4,2020-08-25T14:35:05Z
v1.0.3,2020-08-13T14:53:16Z
v1.0.2,2020-07-10T18:52:33Z
v1.0.1,2020-07-02T15:27:19Z
v1.0.0,2020-06-25T12:58:55Z
v0.0.26,2020-06-22T11:41:35Z
