Release,Published_at
v0.65.0,2025-01-07T02:25:22Z
v0.64.2,2024-11-26T22:24:23Z
v0.64.1,2024-11-18T11:53:27Z
v0.64.0,2024-11-14T00:45:51Z
v0.63.0,2024-11-03T01:18:00Z
v0.62.1,2024-10-17T00:12:55Z
v0.62.0,2024-10-15T15:38:53Z
v0.61.2,2024-09-29T12:13:09Z
v0.61.1,2024-08-26T01:30:10Z
v0.60.2,2024-08-24T02:15:19Z
v0.60.1,2024-08-22T22:57:54Z
v0.58.2,2024-08-07T13:29:53Z
v0.58.1,2024-07-29T23:22:17Z
v0.58.0,2024-07-19T17:20:53Z
v0.57.1,2024-07-14T11:15:14Z
v0.57.0,2024-07-09T22:03:04Z
v0.56.3,2024-07-06T22:26:40Z
v0.56.2,2024-07-03T22:04:54Z
v0.56.1,2024-07-01T20:04:17Z
v0.56.0,2024-06-19T21:00:11Z
v0.55.0,2024-06-13T02:32:51Z
v0.54.5,2024-05-23T21:30:35Z
v0.54.4,2024-05-19T23:03:16Z
v0.54.3,2024-05-19T22:58:43Z
v0.54.2,2024-04-28T03:11:27Z
v0.54.1,2024-04-12T20:53:57Z
v0.54.0,2024-04-04T18:48:21Z
v0.53.2,2024-04-02T06:53:27Z
v0.53.1,2024-03-26T17:09:48Z
v0.53.0,2024-03-25T08:26:01Z
v0.52.3,2024-03-20T02:28:14Z
v0.52.1,2024-03-19T22:24:51Z
v0.52.0,2024-02-11T20:25:32Z
v0.51.3,2024-02-10T22:57:59Z
v0.51.2,2024-02-06T23:26:54Z
v0.51.1,2024-02-03T17:03:53Z
v0.51.0,2024-01-10T00:52:31Z
v0.50.0,2024-01-08T11:53:30Z
v0.49.3,2023-12-27T18:28:52Z
v0.49.0,2023-12-10T21:17:45Z
v0.48.0,2023-12-03T21:42:19Z
v0.47.0,2023-12-02T10:16:20Z
v0.46.0,2023-11-25T20:27:55Z
v0.45.0,2023-11-06T17:45:29Z
v0.44.2,2023-10-29T13:53:08Z
v0.44.1,2023-10-22T21:06:27Z
v0.44.0,2023-10-15T01:22:26Z
v0.43.0,2023-10-11T20:21:01Z
v0.42.2,2023-10-08T21:50:04Z
v0.42.1,2023-10-07T23:21:31Z
v0.42.0,2023-10-06T22:39:17Z
v0.41.1,2023-09-30T22:35:21Z
v0.41.0,2023-09-20T22:21:29Z
v0.40.0,2023-09-08T21:30:08Z
v0.39.0,2023-09-01T15:23:23Z
v0.38.0,2023-08-14T11:44:28Z
v0.37.0,2023-08-06T16:05:55Z
v0.36.2,2023-07-16T07:53:24Z
v0.36.0,2023-06-29T21:03:52Z
v0.35.1,2023-06-24T19:55:19Z
v0.35.0,2023-06-18T18:12:25Z
v0.34.0,2023-06-16T20:42:33Z
v0.33.0,2023-06-11T17:16:20Z
v0.32.0,2023-06-03T23:16:52Z
v0.31.0,2023-05-25T20:11:07Z
v0.30.0,2023-05-22T21:26:09Z
v0.29.0,2023-05-03T20:31:51Z
v0.28.4,2023-04-24T20:26:28Z
v0.28.3,2023-04-16T13:11:25Z
v0.28.2,2023-04-14T20:45:47Z
v0.28.1,2023-04-10T21:28:51Z
v0.28.0,2023-04-10T21:14:39Z
v0.27.0,2023-04-09T05:21:52Z
v0.26.1,2023-04-05T21:03:57Z
v0.26.0,2023-03-24T10:26:24Z
v0.25.0,2023-02-20T20:58:44Z
v0.24.1,2023-02-09T09:17:28Z
v0.24.0,2023-02-06T17:38:22Z
v0.23.1,2023-02-01T23:04:08Z
v0.23.0,2023-01-21T23:22:16Z
v0.22.1,2023-01-17T20:33:32Z
v0.22.0,2023-01-14T14:26:35Z
v0.21.0,2023-01-06T18:37:54Z
v0.20.0,2022-12-20T21:39:37Z
v0.19.2,2022-12-14T22:24:52Z
v0.19.1,2022-12-04T01:20:49Z
v0.18.3,2022-11-11T19:51:15Z
v0.18.2,2022-11-06T13:33:42Z
v0.18.1,2022-10-24T09:03:02Z
v0.18.0,2022-11-11T09:49:17Z
v0.17.5,2022-09-14T23:58:42Z
v0.17.4,2022-08-28T03:01:16Z
v0.17.3,2022-08-17T22:51:40Z
v0.17.2,2022-08-11T21:00:16Z
v0.17.1,2022-07-20T15:03:05Z
v0.17.0,2022-07-06T23:54:11Z
v0.16.6,2022-07-02T22:10:16Z
v0.16.4,2022-05-31T15:35:36Z
v0.16.3,2022-05-18T19:11:45Z
v0.16.2,2022-05-09T20:42:42Z
v0.16.0,2022-04-29T12:10:13Z
v0.15.1,2022-03-24T23:59:33Z
v0.15.0,2022-03-17T00:28:47Z
v0.14.0,2022-03-03T00:42:29Z
v0.13.1,2022-02-20T01:33:31Z
v0.13.0,2022-02-15T23:39:28Z
v0.12.1,2022-02-13T17:01:08Z
v0.12.0,2022-01-20T22:38:46Z
v0.11.1,2022-01-11T23:09:00Z
v0.11.0,2022-01-07T09:56:27Z
v0.10.0,2021-12-20T09:12:28Z
v0.9.0,2021-12-03T14:30:10Z
v0.8.1,2021-11-17T23:01:27Z
v0.8.0,2021-11-10T21:58:00Z
v0.7.1,2021-10-28T23:18:02Z
v0.7.0,2021-10-03T21:17:59Z
v0.6.1,2021-08-31T07:08:09Z
v0.6.0,2021-08-11T08:18:06Z
v0.5.1,2021-07-10T20:33:59Z
v0.5.0,2021-07-01T08:39:35Z
0.4.0,2021-06-22T19:47:37Z
v0.3.0,2021-06-21T15:19:09Z
v0.2.3,2021-06-18T14:19:43Z
