Release,Published_at
2.5.2,2024-11-09T23:07:34Z
2.5.1,2024-08-31T22:58:23Z
2.5.0,2024-05-23T17:45:35Z
2.4.0,2023-05-26T16:55:41Z
2.3.2,2023-05-13T19:14:15Z
2.3.1,2023-03-07T01:56:37Z
2.3.0,2022-12-31T01:33:49Z
2.2.2,2022-12-06T22:56:24Z
1.3.5,2022-12-06T23:01:38Z
2.2.1,2022-10-15T20:15:21Z
0.4.3,2022-10-06T20:29:28Z
2.2.0,2022-10-01T17:58:24Z
2.1.1,2022-09-13T00:10:06Z
2.1.0,2022-07-30T19:52:38Z
2.0.2,2022-06-03T23:14:08Z
1.3.4,2022-06-03T23:11:45Z
2.0.1,2022-04-03T07:15:03Z
2.0.0,2022-03-30T01:59:55Z
1.3.2,2022-02-22T01:50:39Z
0.4.2,2022-02-12T01:01:56Z
1.3.1,2021-12-08T21:52:06Z
1.3.0,2021-12-04T20:53:49Z
1.2.3,2021-11-10T21:37:53Z
1.2.2,2021-10-31T21:16:51Z
1.2.1,2021-10-11T00:42:19Z
1.2.0,2021-08-01T19:25:44Z
1.1.3,2021-07-14T04:15:24Z
1.1.2,2021-07-06T06:45:37Z
1.1.1,2021-07-05T23:24:58Z
1.1.0,2021-07-05T06:43:21Z
1.0.3,2021-06-19T06:08:41Z
1.0.2,2021-05-26T05:56:54Z
1.0.1,2021-05-25T06:28:14Z
1.0.0,2021-05-08T20:29:21Z
1.0.0-rc1,2021-05-03T19:11:02Z
1.0.0-beta2,2021-04-18T16:53:40Z
1.0.0-beta1,2021-04-12T21:31:02Z
0.4.1,2021-03-28T01:49:48Z
0.4.0,2021-03-07T05:18:47Z
0.3.2,2021-02-20T22:45:33Z
0.3.1,2021-01-11T04:19:01Z
0.3.0,2021-01-01T01:18:55Z
0.2.4,2020-11-30T05:32:54Z
0.2.3,2020-10-25T11:33:42Z
0.2.2,2020-10-04T23:33:01Z
0.2.1,2020-09-27T08:25:50Z
0.2.0,2020-09-13T19:10:00Z
0.1.6,2020-09-13T18:54:33Z
0.1.5,2020-09-07T10:15:24Z
0.1.4,2020-08-30T07:31:30Z
0.1.3,2020-08-25T04:45:36Z
0.1.2,2020-08-15T07:56:57Z
0.1.1,2020-08-08T00:24:17Z
0.1.0,2020-08-06T22:49:07Z
0.1.0-rc5,2020-07-08T04:25:48Z
0.1.0-rc4,2020-06-08T02:02:02Z
0.1.0-rc3,2020-05-11T21:52:35Z
0.1.0-rc2,2020-04-03T01:21:05Z
0.1.0-rc1,2020-02-29T22:57:42Z
0.0.19-beta,2020-01-29T05:32:03Z
0.0.18-beta,2019-12-30T07:06:57Z
0.0.17-beta,2019-11-14T08:44:13Z
0.0.16-beta,2019-10-24T23:05:52Z
0.0.15-beta,2019-09-02T22:03:32Z
0.0.14-beta,2019-07-28T23:53:48Z
0.0.13-beta,2019-07-03T21:24:11Z
0.0.12-beta,2019-05-19T19:23:58Z
0.0.11-beta,2019-04-18T02:52:14Z
0.0.10-beta,2019-03-11T04:20:30Z
0.0.9-beta,2019-02-18T03:04:04Z
0.0.8-alpha,2018-12-29T22:50:28Z
0.0.7-alpha,2018-11-29T07:23:51Z
0.0.6-alpha,2018-10-30T23:49:35Z
0.0.5-alpha,2018-09-21T21:52:19Z
0.0.4-alpha,2018-08-07T05:59:44Z
0.0.3-alpha,2018-07-19T23:42:46Z
0.0.2-alpha,2018-07-07T02:22:02Z
0.0.1-alpha,2018-07-07T02:22:39Z
